Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,LOAD_AREA,PRIMARY_NE,PRIMARY_ST,ECONOMIC_M,RPS_COMPLI,RPS_COM_01,SUBSTATION,RPS_POLICY,hydrogen_demand_kg
1006430,1.10071E+11,"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,33.905833,-118.401944,325120,P,Chemicals,620672.4,620672.4,,,,,,,,,,,,,,,,,,,,,,,620672.4,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_SCE_S,CA,CA,1.069205594,2020,0.33,24374,1,68963600
1003748,1.10042E+11,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,RODEO,CA,94572,1391 SAN PABLO AVE,CONTRA COSTA COUNTY,38.047952,-122.256895,325120,P,Chemicals,914744.1,914744.1,,,,,,,,,,,,,,,,,,,,,,,914744.1,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,101638233.3
1002121,1.1E+11,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,MARTINEZ,CA,94553,110 WATERFRONT RD,CONTRA COSTA COUNTY,38.032767,-122.07594,325120,P,Chemicals,772660,772660,,,,,,,,,,,,,,,,,,,,,,,772660,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,85851111.11
1002122,1.10071E+11,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",MARTINEZ,CA,94553,,CONTRA COSTA COUNTY,38.026667,-122.067222,325120,P,Chemicals,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,0
1002123,1.10001E+11,AIR PRODUCTS AND CHEMICALS INCORPORATED,SACRAMENTO,CA,95826,5025 83RD STREET,SACRAMENTO COUNTY,38.529722,-121.398889,325120,P,Chemicals,45453.9,45453.9,,,,,,,,,,,,,,,,,,,,,,,45453.9,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_SMUD,CA,CA,1.08,2020,0.33,22311,1,5050433.333
1002257,1.10002E+11,AIR PRODUCTS CARSON HYDROGEN PLANT,CARSON,CA,90810,23300 SOUTH ALAMEDA STREET,LOS ANGELES COUNTY,33.812778,-118.231389,325120,P,Chemicals,711871.5,711871.5,,,,,,,,,,,,,,,,,,,,,,,711871.5,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_SCE_S,CA,CA,1.069205594,2020,0.33,24374,1,79096833.33
1002435,1.1E+11,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,WILMINGTON,CA,90744,700 HENRY FORD AVENUE,LOS ANGELES COUNTY,33.780833,-118.241111,325120,P,Chemicals,769824.62,769236.9,173.5,414.22,,,,,,,,,,,,,,,,,,,,,769824.62,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,CA_LADWP,CA,CA,1.07,2020,0.33,44357,1,85536068.89
1007253,1.10044E+11,Air Liquide Hydrogen Plant,Anacortes,WA,98221,8581 South Texas Road,SKAGIT COUNTY,48.467675,-122.553982,325120,P,Chemicals,65848.3,65848.3,,,,,,,,,,,,,,,,,,,,,,,65848.3,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,WA_W,NWPP,WA,1.036342077,2020,0.15,479,1,7316477.778
1014562,1.10071E+11,Air Liquide North Las Vegas Liquid Hydrogen Plant,North Las Vegas,NV,89165,8450 N Terryl B Adams St,CLARK COUNTY,36.31623,-114.986163,325120,P,Chemicals,42286.2,42286.2,,,,,,,,,,,,,,,,,,,,,,,42286.2,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,NV_S,AZNMSNV,NV,0.980111548,2025,0.25,16357,1,4698466.667
1014323,,Air Products West Coast Hydrogen - HP-1,Martinez,CA,94553,3485 Pacheco Blvd.,,38.01330428,-122.1079648,325120,P,Chemicals,417324.8,417324.8,,,,,,,,,,,,,,,,,,,,,,,417324.8,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,46369422.22
1014612,1.10071E+11,Air Products West Coast Hydrogen LLC - Torrance,Torrance,CA,90504,3700 W 190th St. #U4/24,LOS ANGELES COUNTY,33.8692,-118.33159,325120,"P,PP","Chemicals,Suppliers of CO2",939991.3,939991.3,,,,,,,,,,,,,,,,,,,,,,,939991.3,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CA_SCE_S,CA,CA,1.069205594,2020,0.33,24374,1,104443477.8
1014324,,Air Products West coast Hydrogen - HP-2,Martinez,CA,94553,1915 Shell Avenue,,38.01767958,-122.1185926,325120,P,Chemicals,407842.7,407842.7,,,,,,,,,,,,,,,,,,,,,,,407842.7,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,45315855.56
1006468,1.10071E+11,BP CHERRY POINT REFINERY,BLAINE,WA,98230,4519 GRANDVIEW ROAD,WHATCOM COUNTY,48.884,-122.735,324110,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2275448.402,2264572.9,6487.75,4387.752,,,,,,,,,,1223942.562,,,,,,,,,,,798949.5,,,,,,,,,,,,,,252556.34,,,,,,,,,,,,N,Y,Y,WA_W,NWPP,WA,1.036342077,2020,0.15,479,1,88772166.67
1003610,1.10021E+11,CHEVRON PRODS.CO. RICHMOND REFY,RICHMOND,CA,94801,841 CHEVRON WAY,CONTRA COSTA COUNTY,37.938779,-122.396453,324110,"C,P,Y","Chemicals,Refineries",4008129.326,3996363.9,5034.5,6730.926,,,,,,,,,,2125310.428,,,,,,,,,,,1073405.8,,,,,,,,,,,,,,809413.098,,,,,,,,,,,,N,N,N,CA_PGE_BAY,CA,CA,1.181918396,2020,0.33,22313,1,119267311.1
1007978,1.10003E+11,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,33.9082,-118.4085,324110,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",3301835.324,3279694.6,16191.75,5948.974,,,,,,,,,17782.7,2243682.424,,,,,,,,,,,485783.9,,,,,,,,,,,,,,572369,,,,,,,,,,,,N,Y,N,CA_SCE_S,CA,CA,1.069205594,2020,0.33,24374,1,53975988.89
