date,demand_mwh_baseline,demand_mwh_industry,demand_mwh_transport,demand_mwh_aviation
1,88117.8799160259,160677.19208425898,263738.2915492002,396237.74218423915
2,88117.8799160259,160677.19208425898,277854.6830146859,454522.93250394746
3,88117.8799160259,313707.3334247697,257062.4342088117,482814.51990724297
4,88117.8799160259,313707.3334247697,264007.149998109,479724.6594743861
5,88117.8799160259,313707.3334247697,274819.9095265823,473978.45995797793
6,88117.8799160259,313707.3334247697,290973.52644025,385135.007232947
7,88117.8799160259,313707.3334247697,295480.0347467171,435472.16127212
8,88117.8799160259,160677.19208425898,260134.27266613985,434991.2869661053
9,88117.8799160259,160677.19208425898,274057.7617627107,440329.1503182816
10,88117.8799160259,313707.3334247697,253549.64180601537,448176.33945647336
11,88117.8799160259,313707.3334247697,260399.457128915,484638.8631881768
12,88117.8799160259,313707.3334247697,271064.458858719,458365.19872374606
13,88117.8799160259,313707.3334247697,286997.3344448694,327868.98619090096
14,88117.8799160259,313707.3334247697,291442.26071544556,368561.6322583218
15,88117.8799160259,160677.19208425898,253898.48075312644,383305.00794738263
16,88117.8799160259,160677.19208425898,267488.2037813033,413164.405566842
17,88117.8799160259,313707.3334247697,247471.69291171193,423411.5183133371
18,88117.8799160259,313707.3334247697,254157.30833759301,475764.44290602027
19,88117.8799160259,313707.3334247697,264566.6546325156,462810.8023839764
20,88117.8799160259,313707.3334247697,280117.59637446597,351305.3633348784
21,88117.8799160259,313707.3334247697,284455.97135689534,419822.96942009387
22,88117.8799160259,160677.19208425898,266780.17941525974,428989.44993772
23,88117.8799160259,160677.19208425898,281059.3854162682,422943.85761054844
24,88117.8799160259,313707.3334247697,260027.32435713263,438787.0435265126
25,88117.8799160259,313707.3334247697,267052.1387005312,505860.9692649624
26,88117.8799160259,313707.3334247697,277989.60960272804,474833.3491051115
27,88117.8799160259,313707.3334247697,294329.53828985407,352507.5733019415
28,88117.8799160259,313707.3334247697,298888.0233716891,442922.7611395951
29,88117.8799160259,160677.19208425898,272589.69045048754,460809.687898705
30,88117.8799160259,160677.19208425898,287179.84608332237,438731.7286958288
31,88117.8799160259,313707.3334247697,265689.7825247263,460208.41020237294
32,88117.8799160259,313707.3334247697,272867.5720165324,484671.99721475557
33,88117.8799160259,313707.3334247697,284043.2216079358,471729.39390674286
34,88117.8799160259,313707.3334247697,300738.97509098967,351995.9345691258
35,88117.8799160259,313707.3334247697,305396.7275405091,394889.28575306275
36,88117.8799160259,160677.19208425898,270799.27157191903,461092.4031534009
37,88117.8799160259,160677.19208425898,285293.5964094731,428725.5055615741
38,88117.8799160259,313707.3334247697,263944.68351022946,456805.6725294755
39,88117.8799160259,313707.3334247697,271075.32796746417,504254.6747922669
40,88117.8799160259,313707.3334247697,282177.57385951775,495006.28172569844
41,88117.8799160259,313707.3334247697,298763.66657088493,354662.35861670267
42,88117.8799160259,313707.3334247697,303390.8260576863,403575.82108791947
43,88117.8799160259,160677.19208425898,273556.6941603476,492927.61591962166
44,88117.8799160259,160677.19208425898,288198.6079409457,446141.8200702647
45,88117.8799160259,313707.3334247697,266632.3090266095,447451.8440594337
46,88117.8799160259,313707.3334247697,273835.5615084495,523197.4422185204
47,88117.8799160259,313707.3334247697,285050.85638734896,500972.64187594573
48,88117.8799160259,313707.3334247697,301805.83754112624,380927.7605754039
49,88117.8799160259,313707.3334247697,306480.1132324407,410294.2128938334
50,88117.8799160259,160677.19208425898,272119.51801963005,461357.95703467407
51,88117.8799160259,160677.19208425898,286684.5080920065,467043.01015931496
52,88117.8799160259,313707.3334247697,265231.5113444773,481147.29125156364
53,88117.8799160259,313707.3334247697,272396.920318097,515455.68821582536
54,88117.8799160259,313707.3334247697,283553.2937934382,490550.2594152954
55,88117.8799160259,313707.3334247697,300220.2497779619,376436.96382816404
56,88117.8799160259,313707.3334247697,304869.96840109635,452739.76671502466
57,88117.8799160259,160677.19208425898,275636.53675403947,465096.4556961333
58,88117.8799160259,160677.19208425898,290389.7725539842,462908.5878884632
59,88117.8799160259,313707.3334247697,268659.50576653396,480421.9616356286
