AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
0S9,2.7359206462684833e-05,48.0537986755,-122.810997009,0.0008193832423685184
0V7,0.0,36.716444,-110.228444,0.0
1V6,7.209055468758772e-07,38.429739,-105.108562,2.159046261982262e-05
3S8,0.0,42.510101,-123.388,0.0
4V0,2.441287533584429e-05,40.094002,-108.763,0.0007311433164373852
67L,0.0,36.833105,-114.055928,0.0
6S8,0.585990941547448,45.703098,-108.761002,17.549893427596526
74V,0.0006127193407204582,40.278301,-110.051003,0.018350384567848405
ABQ,504018.91019955766,35.03805556,-106.61,15094905.965844793
ACV,1.8599454550362564,40.97777778,-124.10833333,55.703667416479675
AEG,0.004227295213601666,35.145198822021484,-106.79499816894533,0.12660363023664767
AEJ,1.0638640901269542e-05,38.812906,-106.120062,0.0003186175771569195
AFO,0.0,42.70888889,-110.94222222,0.0
AJO,0.0,33.897701,-117.601997,0.0
ALM,0.004662439877359555,32.83777778,-105.99305556,0.13963581543454792
ALS,0.0014491019380387742,37.435,-105.86777778,0.04339927936624062
ALW,0.007202192382921907,46.0925,-118.28416667,0.2156990830464782
ANK,0.0,38.5383,-106.049004,0.0
APA,0.00023775051223369744,39.57,-104.84805556,0.007120410668873838
APC,0.000887861005721214,38.21305556,-122.28055556,0.026590626107254087
APV,1.074166171734893e-06,34.57527778,-117.18611111,3.217029564944274e-05
ASE,31.166699361891894,39.22194444,-106.86833333,933.4141767562711
AST,7.910014971184989e-05,46.15805556,-123.87861111,0.0023689772300643872
AUN,9.70302160111106e-07,38.95472222,-121.08166667,2.905966337559467e-05
AVQ,5.0698788647074986e-08,32.409065,-111.216199,1.5183824093164117e-06
AWO,0.0,48.161448,-122.158442,0.0
BAB,4.597645932780495e-05,39.13611111,-121.43666667,0.0013769529598024843
BDG,0.0,37.58333333,-109.48333333,0.0
BDN,0.002512477078332908,44.09479904,-121.2009964,0.07524639348106942
BDU,1.9311176745244354e-05,40.039101,-105.226025,0.0005783521037809031
BFI,110.43897715503135,47.53,-122.30194444,3307.5464856253775
BFL,5.978820301965433,35.43361111,-119.0575,179.06020670756013
BIF,726233.0670404085,31.84944444,-106.38,21750016.982342273
BIH,0.032775655110994166,37.37305556,-118.36361111,0.9816009317458569
BIL,72858.92082155925,45.80777778,-108.54361111,2182058.1258328618
BJC,0.39194465205439183,39.90888889,-105.11694444,11.738384308307632
BKE,0.0,44.83722222,-117.80916667,0.0
BLH,0.0,33.61944444,-114.71694444,0.0
BLI,11.602445066424806,48.79277778,-122.5375,347.4826315191616
BNO,7.473086182331068e-05,43.59194444,-118.95555556,0.002238121048916163
BOI,511002.56785402563,43.56444444,-116.22277778,15304060.133394
BTF,0.0,40.8694000244,-111.927001953,0.0
BTM,11.109693501188037,45.95111111,-112.49555556,332.72517224282825
BUR,8515.07963916467,34.20055556,-118.35861111,255018.8571178398
BVS,0.0001200751139299015,48.470901,-122.420998,0.003596139979931162
BWC,5.157698749690333e-07,32.99305556,-115.51722222,1.544683662680543e-05
BYG,0.3788735580190457,44.38111111,-106.72194444,11.346916981702476
BYI,0.0,42.5425,-113.77166667,0.0
BZN,391594.8422483613,45.77722222,-111.15027778,11727907.824149784
C83,2.534888954868326e-06,37.82647,-121.621699,7.591760871124067e-05
CAG,0.0,40.4952011108,-107.522003174,0.0
CCB,1.638745586808317e-07,34.111599,-117.688004,4.907893341743987e-06
CCR,0.04752224467752286,37.98972222,-122.05694444,1.423247819033329
CDC,0.22133760680068468,37.70194444,-113.09805556,6.62885914347663
CEC,0.05538609926324761,41.78027778,-124.23666667,1.6587630806603058
CEZ,0.018575508689772754,37.30305556,-108.62805556,0.5563195175134098
CFO,0.00026257463558122395,39.784194,-104.537639,0.007863870487607784
CGZ,4.7749593119991e-07,32.955,-111.76694444,1.4300566972144652e-05
CHD,1.6159334691965625e-05,33.26916667,-111.81111111,0.00048395731332631403
CIC,0.000738456658204723,39.79527778,-121.85888889,0.022116102372109103
CLM,0.0023364552186739113,48.12027778,-123.49972222,0.06997469957094672
CLS,0.0,46.67694444,-122.98277778,0.0
CMA,8.616351489687201e-05,34.213699,-119.094002,0.0025805185653450737
CNO,0.0011267025129040509,33.97472222,-117.63638889,0.033743711078288434
CNY,0.10271302303573857,38.76388889,-109.74555556,3.0761612170032513
COD,278.66078496741113,44.52027778,-109.02388889,8345.635967876942
COE,0.34091987467083174,47.77444444,-116.81944444,10.210238834106969
COS,149.62159452751123,38.80583333,-104.70083333,4481.030084681379
CPR,18779.685786607286,42.90583333,-106.46361111,562434.4350586189
CRQ,8.666244644149348e-05,33.1283,-117.279999,0.002595461109358894
CTB,8.43478450795952,48.60888889,-112.37833333,252.61409128360347
CVH,9.89743925568257e-07,36.8932991028,-121.410003662,2.964192649201129e-05
CVO,0.006288165376786428,44.49694444,-123.28944444,0.18832480912807512
CXL,6.22761470903635e-07,32.6675,-115.5175,1.865113719387945e-05
CXP,0.0,39.1922,-119.734001,0.0
CYS,27.751518466459324,41.15666667,-104.82027778,831.1326285252867
DAG,3.793491074426084e-08,34.85138889,-116.79361111,1.1361159252548918e-06
DEN,4556094.921064976,39.86111111,-104.67194444,136450881.13402143
