Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1004236,110007030186.0,AGRIUM US INC - KFO,46.165957,-119.017218,Agrium KFO,325311.0,1269.3,Natural Gas (Weighted U.S. Average),True,True
1007263,110031262112.0,ALTO COLUMBIA LLC,45.855921,-119.656083,GP-1,325193.0,39119.8,Natural Gas (Weighted U.S. Average),True,True
1007264,110035761912.0,ALTO MAGIC VALLEY LLC,42.521324,-113.815693,GP-1,325193.0,56590.6,Natural Gas (Weighted U.S. Average),True,True
1001908,110017427033.0,APACHE NITROGEN PRODUCTS - PLANT,31.88,-110.24,CP-1,325311.0,27224.4,Natural Gas (Weighted U.S. Average),True,True
1012089,,"Aemetis Advanced Fuels Keyes, Inc.",37.553007,-120.916475,GP-Multiple Units,325193.0,69625.7,Natural Gas (Weighted U.S. Average),True,True
1012089,,"Aemetis Advanced Fuels Keyes, Inc.",37.553007,-120.916475,GP-Multiple Units,325193.0,69625.7,Other Biomass Gases,True,True
1005872,110008262851.0,"B BRAUN MEDICAL, INC",33.6878,-117.8379,Co-Gen #1,325412.0,13521.4,Natural Gas (Weighted U.S. Average),True,True
1005872,110008262851.0,"B BRAUN MEDICAL, INC",33.6878,-117.8379,CoGen #2,325412.0,15558.1,Natural Gas (Weighted U.S. Average),True,True
1005872,110008262851.0,"B BRAUN MEDICAL, INC",33.6878,-117.8379,Duplex,325412.0,8.1,Natural Gas (Weighted U.S. Average),True,True
1005872,110008262851.0,"B BRAUN MEDICAL, INC",33.6878,-117.8379,GP-Boilers & DB,325412.0,21998.7,Natural Gas (Weighted U.S. Average),True,True
1005872,110008262851.0,"B BRAUN MEDICAL, INC",33.6878,-117.8379,GP-Plant Use,325412.0,192.9,Natural Gas (Weighted U.S. Average),True,True
1004701,110071159209.0,Borman Specialty Materials,36.03544,-114.99994,CP-SWGAS,325180.0,27690.9,Natural Gas (Weighted U.S. Average),True,True
1007717,110031306272.0,CARESTREAM HEALTH INC.,40.4584,-104.87399,GP-C70 Boilers,325992.0,32583.8,Natural Gas (Weighted U.S. Average),True,True
1005924,110000468066.0,Cheyenne Plant,41.0949,-104.908,GP-01,325311.0,168178.5,Natural Gas (Weighted U.S. Average),True,True
1014610,110000468048.0,Cheyenne Renewable Diesel Company LLC,41.1275,-104.7892,East H2 Waste Gas,325199.0,50230.2,Fuel Gas,True,True
1014610,110000468048.0,Cheyenne Renewable Diesel Company LLC,41.1275,-104.7892,GP-DieselEngines,325199.0,10.4,Distillate Fuel Oil No. 2,True,True
1014610,110000468048.0,Cheyenne Renewable Diesel Company LLC,41.1275,-104.7892,GP-FuelGas,325199.0,41954.6,Fuel Gas,True,True
1014610,110000468048.0,Cheyenne Renewable Diesel Company LLC,41.1275,-104.7892,GP-NaturalGas,325199.0,22557.0,Natural Gas (Weighted U.S. Average),True,True
1014610,110000468048.0,Cheyenne Renewable Diesel Company LLC,41.1275,-104.7892,West H2 Waste Gas,325199.0,24899.7,Fuel Gas,True,True
1007805,110000602544.0,Corteva agriscience - Pittsburg Operations,38.023129,-121.855352,CP- Natural Gas Use,325199.0,29292.3,Natural Gas (Weighted U.S. Average),True,True
1007805,110000602544.0,Corteva agriscience - Pittsburg Operations,38.023129,-121.855352,GP- Diesel Usage,325199.0,0.8,Distillate Fuel Oil No. 2,True,True
1007805,110000602544.0,Corteva agriscience - Pittsburg Operations,38.023129,-121.855352,GP- Gasoline Use,325199.0,0.0,Motor Gasoline,True,True
1005766,110071160489.0,Dyno Nobel,45.911158,-122.824231,GP-01,325311.0,69445.0,Natural Gas (Weighted U.S. Average),True,True
