Facility Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type
1002421,ASH GROVE CEMENT COMPANY,32.51993,-97.0068,GP-Diesel Engines,327310.0,21.4,Distillate Fuel Oil No. 2
1002421,ASH GROVE CEMENT COMPANY,32.51993,-97.0068,GP-Natural Gas Heaters,327310.0,292.9,Natural Gas (Weighted U.S. Average)
1002527,ASH GROVE CEMENT COMPANY-DURKEE,44.542325,-117.42053,GP-other sources,327310.0,137.3,Natural Gas (Weighted U.S. Average)
1007552,ASH GROVE CEMENT COMPANY-Louisville,41.005565,-96.154917,GP-1 Natural Gas,327310.0,15621.4,Natural Gas (Weighted U.S. Average)
1007552,ASH GROVE CEMENT COMPANY-Louisville,41.005565,-96.154917,GP-2 Diesel,327310.0,0.1,Distillate Fuel Oil No. 2
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Clark Gulch Quarry Shop Propane,327310.0,24.6,Propane
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,GP-Misc. Natural Gas Combustion,327310.0,1260.0,Natural Gas (Weighted U.S. Average)
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Kiln Aux Diesel Drive,327310.0,2.0,Distillate Fuel Oil No. 2
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Used Oil Burner,327310.0,15.3,Used Oil
1002537,ASH GROVE CEMENT COMPANY-SEATTLE,47.56799,-122.34255,Shop Heater,327310.0,185.9,Natural Gas (Weighted U.S. Average)
1002530,Ash Grove Cement Company-LEAMINGTON,39.508327,-112.262246,GP-space heat,327310.0,235.7,Natural Gas (Weighted U.S. Average)
1004270,CAPITOL CEMENT PLANT,29.545278,-98.421111,31,327310.0,1036.8,Natural Gas (Weighted U.S. Average)
1004270,CAPITOL CEMENT PLANT,29.545278,-98.421111,GP-All,327310.0,2438.5,Natural Gas (Weighted U.S. Average)
1007877,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,40.202236,-105.236697,GP-01,327310.0,3032.6,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,Coal Mill 1,327310.0,413.3,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP- Raw Mill #1,327310.0,1547.2,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP-Raw Mill #2,327310.0,2189.5,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Aux Bldging Heat-hot water,327310.0,58.3,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Heating,327310.0,11.4,Propane Gas
