Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1005755,110040961947.0,CASCADE STEEL ROLLING MILLS INC,45.22863,-123.15905,CP-GU-1,331110.0,38876.8,Natural Gas (Weighted U.S. Average),True,True
1005755,110040961947.0,CASCADE STEEL ROLLING MILLS INC,45.22863,-123.15905,CP-GU-2,331110.0,7010.3,Natural Gas (Weighted U.S. Average),True,True
1003902,110000467833.0,CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,38.232627,-104.607257,CP-General Stationary Fuel Combustion,331110.0,176290.2,Natural Gas (Weighted U.S. Average),True,True
1003902,110000467833.0,CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,38.232627,-104.607257,CP-General Stationary Fuel Combustion,331110.0,176290.2,Kerosene,True,True
1004038,110037377969.0,CMC Steel Arizona,33.2853,-111.5863,GP-Dryers and Preheaters,331110.0,2573.7,Natural Gas (Weighted U.S. Average),True,True
1001840,110027376284.0,Evraz Oregon Steel,45.62849,-122.78125,CP-1,331110.0,83465.4,Natural Gas (Weighted U.S. Average),True,True
1001840,110027376284.0,Evraz Oregon Steel,45.62849,-122.78125,GP-1,331110.0,0.0,Kerosene,True,True
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,CP-Plantwide natural gas/co-located faci,331110.0,86995.0,Natural Gas (Weighted U.S. Average),True,True
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,GP-HEG,331110.0,0.1,Motor Gasoline,True,True
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,MCG,331110.0,2.5,Distillate Fuel Oil No. 2,True,True
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,MPHEP,331110.0,13.1,Distillate Fuel Oil No. 2,True,True
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,R2EP,331110.0,2.0,Distillate Fuel Oil No. 2,True,True
1000029,110015969941.0,NUCOR STEEL SEATTLE INC,47.569331,-122.367332,CP-1,331110.0,41892.7,Natural Gas (Weighted U.S. Average),True,True
1003580,110000600154.0,VINTON STEEL LLC,31.96534,-106.585052,CP-NG Main Billing Meter,331110.0,31111.6,Natural Gas (Weighted U.S. Average),True,False
1003580,110000600154.0,VINTON STEEL LLC,31.96534,-106.585052,CP-NG Rock Office,331110.0,7.1,Natural Gas (Weighted U.S. Average),True,False
1003580,110000600154.0,VINTON STEEL LLC,31.96534,-106.585052,CP-NG_Main Office,331110.0,7.9,Natural Gas (Weighted U.S. Average),True,False
