LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_E,2331697497.0038357,616377918.1826444,1715319578.8211913
AZ_APS_N,6159114551.587689,1035591901.1052678,5123522650.482422
AZ_APS_SW,5723174726.037375,1341269423.6187031,4381905302.418673
AZ_NM_N,806368969.7680805,126376823.63248506,679992146.1355954
AZ_NW,2338698555.1847005,519883504.05868495,1818815051.1260157
AZ_PHX,38351268577.53264,2832366422.0325212,35518902155.500114
AZ_SE,13357118406.125816,1647930377.9004252,11709188028.225391
CA_IID,182316.61673796573,9849.014941763788,172467.60179620195
CA_SCE_SE,20452608.338178102,3512833.242866176,16939775.095311925
NM_S_TX_EPE,2012.845095030749,384.5805728564143,1628.2645221743346
NV_S,4592138.817652654,980292.2391534784,3611846.5784991756
UT_S,335359.99340398365,286255.29313669604,49104.70026728761
