State,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7
AZ,13.98125688,37.60387291,5.779116331,3.914852228,1.239359263,0.463729945,0.141910076
CA,37.96456029,33.9326476,6.21947007,2.981409632,1.28156135,0.208493906,0.170254751
CO,15.90816003,16.40918315,3.799105394,1.640896371,0.663493861,0.102713546,0.086298625
ID,7.96674012,7.101410207,2.308210717,1.492712225,0.360886473,0.047939082,0.078923914
MT,2.942122818,#DIV/0!,1.35704205,0.583382549,0.186197075,0.056448363,0.04667055
NE,9.942872228,4.986238117,1.599721975,0.968021297,0.181487039,0.035805386,0.038552502
NV,11.2919065,33.51269667,2.765567436,3.476982826,0.206184913,0.620290967,0.142978757
NM,7.877782006,9.44973389,3.036112599,1.207005972,0.516732914,0.194148489,0.090700191
OR,13.2431769,21.0698497,2.919684808,1.826589012,0.50103504,0.143912106,0.050691556
SD,4.848959703,1.759766447,0.768917173,0.615635441,0.111604926,0.023948673,0.013165629
TX,22.51074569,25.05508606,4.627282767,2.615988556,0.881668568,0.183020597,0.078838538
UT,13.43879456,10.00976961,4.398315077,1.874128315,0.725491229,0.163614132,0.155793924
WA,22.56742463,7.615945728,4.313235444,1.930750658,0.580906886,0.174132948,0.112032927
WY,3.480242182,3.875596263,1.127014986,0.890497768,0.314401512,0.079133201,0.060921112
