Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1002527,110070834904.0,ASH GROVE CEMENT COMPANY-DURKEE,DURKEE,OR,97905,33060 SHIRTTAIL CREEK ROAD,BAKER COUNTY,44.542325,-117.42053,327310.0,"C,H",Minerals,680159.47,679086.2,405.75,667.52,,,,,,,,,,137.3,,,,,680022.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-117.42053 44.542325),True,True
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,CLANCY,MT,59634,100 HIGHWAY 518,JEFFERSON COUNTY,46.54448,-111.92062,327310.0,"C,H",Minerals,342054.86,340682.7,502.0,870.16,,,,,,,,,,1302.996,,,,,340751.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-111.92062 46.54448),True,True
1002537,110000897085.0,ASH GROVE CEMENT COMPANY-SEATTLE,SEATTLE,WA,98134,3801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.56799,-122.34255,327310.0,"C,H",Minerals,315155.07,314638.9,206.25,309.92,,,,,,,,,,185.9,,,,,314969.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-122.34255 47.56799),True,True
1002530,,Ash Grove Cement Company-LEAMINGTON,Nephi,UT,84648,19090 West Highway 132,,39.508327,-112.262246,327310.0,"C,H",Minerals,585814.52,584007.7,662.5,1144.32,,,,,,,,,,235.7,,,,,585578.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-112.262246 39.508327),True,True
1007877,110000467450.0,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,LYONS,CO,80540,5134 UTE HIGHWAY,BOULDER COUNTY,40.202236,-105.236697,327310.0,"C,H",Minerals,320928.188,320924.9,1.5,1.788,,,,,,,,,,3035.888,,,,,317892.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-105.236697 40.202236),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,Apple Valley,CA,92308,25220 Black Mountain Quarry Road,SAN BERNARDINO COUNTY,34.39654,-117.150005,327310.0,"C,H",Minerals,1931464.428,1925237.0,1962.75,4264.678,,,,,,,,,125030.0,4454.384,,,,,1927010.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-117.150005 34.39654),True,True
1006842,110063527964.0,CalPortland Company Mojave Plant,Mojave,CA,93501,9350 Oak Creek Road,KERN COUNTY,35.03837,-118.2977,327310.0,"C,H",Minerals,955083.476,952613.4,902.0,1568.076,,,,,,,,,,837.396,,,,,954246.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-118.2977 35.03837),True,True
1007927,110001200922.0,CalPortland Company Oro Grande Plant,Oro Grande,CA,92368,19409 National Trails Highway,SAN BERNARDINO COUNTY,34.6045,-117.3382,327310.0,"C,H",Minerals,1493186.31,1488619.0,1670.75,2896.56,,,,,,,,,,174.9,,,,,1493011.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-117.3382 34.6045),True,True
1006669,110070840230.0,CalPortland Company Rillito Plant,Rillito,AZ,85654,11115 North Casa Grande Highway,PIMA COUNTY,32.4108,-111.15055,327310.0,"C,H",Minerals,807225.658,804840.0,874.5,1511.158,,,,,,,,,,433.948,,,,,806791.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-111.15055 32.4108),True,True
1004612,110070385909.0,CalPortland Redding Cement Plant,REDDING,CA,96003,15390 WONDERLAND BOULEVARD,SHASTA COUNTY,40.7369,-122.3223,327310.0,"C,H",Minerals,445565.848,443939.6,612.75,1013.498,,,,,,,,,9220.0,602.148,,,,,444963.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-122.3223 40.7369),True,True
1001689,110071161163.0,Drake Cement,Paulden,AZ,86334,5001 E. Drake Rd.,YAVAPAI COUNTY,34.98533,-112.37044,327310.0,H,Minerals,515353.25,514288.0,394.75,670.5,,,,,,,,,,,,,,,515353.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-112.37044 34.98533),True,True
1004539,110070834910.0,GCC DACOTAH,RAPID CITY,SD,57702,501 NORTH SAINT ONGE STREET,PENNINGTON COUNTY,44.0896,-103.271663,327310.0,H,Minerals,854773.1,854773.1,,,,,,,,,,,3.7,,,,,,854773.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-103.271663 44.0896),False,True
1003067,110037262636.0,GCC RIO GRANDE INC,PUEBLO,CO,81004,3372 LIME ROAD,PUEBLO COUNTY,38.129058,-104.606741,327310.0,"C,H",Minerals,666455.686,663901.3,920.75,1633.636,,,,,,,,,10843.0,963.138,,,,,665492.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-104.606741 38.129058),True,True
1009018,110000600831.0,"GCC RIO GRANDE, INC. TIJERAS PLANT",TIJERAS,NM,87059,11783 STATE HIGHWAY 14 S,BERNALILLO COUNTY,35.071319,-106.392283,327310.0,H,Minerals,328715.006,327577.0,416.25,721.756,,,,,,,,,,,,,,,328715.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-106.392283 35.071319),True,True
1002431,110000484039.0,HANSON PERMANENTE CEMENT,CUPERTINO,CA,95014,24001 STEVENS CREEK BLVD.,SANTA CLARA COUNTY,37.3181,-122.091,327310.0,"C,H",Minerals,15.1,15.1,,,,,,,,,,,,15.1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-122.091 37.3181),True,True
1004131,110012414128.0,HOLCIM (US) INC. DEVIL\S SLIDE PLANT,MORGAN,UT,84050,6055 EAST CROYDON ROAD,MORGAN COUNTY,41.0633,-111.5317,327310.0,"C,H",Minerals,711044.9,708106.9,1150.0,1788.0,,,,,,,,,,83.9,,,,,710961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-111.5317 41.0633),True,True
1003008,110071159604.0,Holcim (US) Inc. - Portland Plant,Florence,CO,81226,3500 Highway 120,FREMONT COUNTY,38.328631,-105.008989,327310.0,"C,H",Minerals,778371.256,775877.5,952.5,1541.256,,,,,,,,,,805.596,,,,,777565.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-105.008989 38.328631),True,True
1005978,110005580503.0,MOUNTAIN CEMENT CO,LARAMIE,WY,82070,5 SAND CREEK ROAD,ALBANY COUNTY,41.26109,-105.60319,327310.0,H,Minerals,474100.97,472083.8,738.75,1278.42,,,,,,,,,,,,,,,474100.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-105.60319 41.26109),True,True
1005662,110070081921.0,Mitsubishi Cement Corp Cushenbury Cement Plant,Lucerne Valley,CA,92356,5808 State Highway 18,SAN BERNARDINO COUNTY,34.437557,-116.891034,327310.0,"C,H",Minerals,1160734.582,1157666.1,1061.75,2006.732,,,,,,,,,44547.0,423.648,,,,,1160310.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-116.891034 34.437557),True,True
1006642,110071162504.0,NATIONAL CEMENT CO OF CALIFORNIA INC,Lebec,CA,93243,,KERN COUNTY,34.819863,-118.748732,327310.0,"C,H",Minerals,849705.894,844821.8,1858.5,3025.594,,,,,,,,,113767.0,1596.444,,,,,848109.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-118.748732 34.819863),True,True
1004174,110071162501.0,NEVADA CEMENT COMPANY,FERNLEY,NV,89408,,LYON COUNTY,39.62,-119.2628,327310.0,"C,H",Minerals,407693.274,407242.1,156.75,294.424,,,,,,,,,,4343.484,,,,,403349.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-119.2628 39.62),True,True
1003643,110070834974.0,PHOENIX CEMENT COMPANY\S CLARKDALE FACILITY,CLARKDALE,AZ,86324,601 NORTH CEMENT PLANT ROAD,YAVAPAI COUNTY,34.779716,-112.083801,327310.0,"C,H",Minerals,835673.646,833554.3,777.75,1341.596,,,,,,,,,,997.896,,,,,834675.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-112.083801 34.779716),True,True
1002566,110000481915.0,Tehachapi Cement Plant,TEHACHAPI,CA,93561,13573 TEHACHAPI BLVD.,KERN COUNTY,35.12279,-118.369304,327310.0,"C,H",Minerals,625621.626,622075.7,1359.5,2186.426,,,,,,,,,27244.0,79.7,,,,,625541.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-118.369304 35.12279),True,True
1006185,110001473815.0,Trident,THREE FORKS,MT,59752,4070 TRIDENT ROAD,GALLATIN COUNTY,45.94942,-111.47501,327310.0,"C,H",Minerals,299006.45,298127.2,283.25,596.0,,,,,,,,,,109.2,,,,,298897.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-111.47501 45.94942),True,True
