Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1004225,110025339621.0,Cardinal FG Company,Winlock,WA,98596,545 Avery Road West,LEWIS COUNTY,46.5439,-122.9259,327211.0,"C,N",Minerals,106395.932,106322.5,33.5,39.932,,,,,,,,,,71450.832,,,,,,,,,34945.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.9259 46.5439),True,True
1007904,110071161729.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,KINGSBURG,CA,93631,11535 EAST MOUNTAINVIEW AVENUE,TULARE COUNTY,36.49031,-119.533971,327211.0,"C,N",Minerals,120985.13,120897.7,39.75,47.68,,,,,,,,,,84278.13,,,,,,,,,36707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-119.533971 36.49031),True,True
1000005,110000482022.0,Ardagh Glass Inc. (Madera),MADERA,CA,93637,24441 AVENUE 12 & ROAD 24 1/2,MADERA COUNTY,36.92375,-120.10151,327213.0,"C,N",Minerals,76626.784,76567.6,27.0,32.184,,,,,,,,,,57595.584,,,,,,,,,19031.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-120.10151 36.92375),True,True
1000024,110000489659.0,Ardagh Glass Inc. (Seattle),SEATTLE,WA,98134,5801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.551767,-122.337152,327213.0,"C,N",Minerals,54049.144,54006.4,19.5,23.244,,,,,,,,,,41674.444,,,,,,,,,12374.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.337152 47.551767),True,True
1001718,110000485270.0,GALLO GLASS COMPANY,MODESTO,CA,95354,605 S. SANTA CRUZ AVE.,STANISLAUS COUNTY,37.630957,-120.97472,327213.0,"C,N",Minerals,157872.188,157759.3,51.5,61.388,,,,,,,,,,109618.588,,,,,,,,,48253.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-120.97472 37.630957),True,True
1001975,110064133325.0,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,Windsor,CO,80550,11133 Eastman Park Drive,WELD COUNTY,40.461452,-104.849165,327213.0,"C,N",Minerals,113445.168,113367.9,35.25,42.018,,,,,,,,,,75007.168,,,,,,,,,38438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-104.849165 40.461452),True,True
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,TRACY,CA,95376,14700 W SCHULTE RD.,SAN JOAQUIN COUNTY,37.715147,-121.49157,327213.0,"C,N",Minerals,88335.896,88266.3,31.75,37.846,,,,,,,,,,67967.296,,,,,,,,,20368.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-121.49157 37.715147),True,True
1007823,110002631073.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,VERNON,CA,90058,2901 FRUITLAND AVE.,LOS ANGELES COUNTY,33.9972,-118.2172,327213.0,"C,N",Minerals,63206.72,63157.4,22.5,26.82,,,,,,,,,,47442.42,,,,,,,,,15764.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-118.2172 33.9972),True,True
1006053,110000487660.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,PORTLAND,OR,97220,9710 NORTHEAST GLASS PLANT ROAD,MULTNOMAH COUNTY,45.5639,-122.56436,327213.0,"C,N",Minerals,15200.648,15186.4,6.5,7.748,,,,,,,,,,13595.848,,,,,,,,,1604.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.56436 45.5639),True,True
1003465,110000844999.0,ROCKY MOUNTAIN BOTTLE COMPANY,WHEAT RIDGE,CO,80033,10619 W 50TH AVE,JEFFERSON COUNTY,39.78741,-105.11498,327213.0,"C,N",Minerals,76684.76,76632.7,23.75,28.31,,,,,,,,,,50372.36,,,,,,,,,26312.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-105.11498 39.78741),True,True
