Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1003689,110069522662.0,Alon Bakersfield Refining,Bakersfield,CA,93308,6451 Rosedale Highway,KERN COUNTY,35.3809,-119.07242,324110.0,C,Petroleum and Natural Gas Systems,17599.036,17581.5,8.0,9.536,,,,,,,,,,17599.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-119.07242 35.3809),True,True
1009068,110000468921.0,BIG WEST OIL LLC,NORTH SALT LAKE,UT,84054,333 WEST CENTER STREET,DAVIS COUNTY,40.838386,-111.921443,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",288509.134,285772.2,1587.25,1149.684,,,,,,,,,,146209.638,,,,,,,,,,,,,,,,,,,,,,,,,142299.496,,,,,,,,,,,,N,N,Y,POINT (-111.921443 40.838386),True,True
1006468,110070752633.0,BP CHERRY POINT REFINERY,BLAINE,WA,98230,4519 GRANDVIEW ROAD,WHATCOM COUNTY,48.884,-122.735,324110.0,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2275448.402,2264572.9,6487.75,4387.752,,,,,,,,,,1223942.562,,,,,,,,,,,798949.5,,,,,,,,,,,,,,252556.34,,,,,,,,,,,,N,Y,Y,POINT (-122.735 48.884),True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,RICHMOND,CA,94801,841 CHEVRON WAY,CONTRA COSTA COUNTY,37.938779,-122.396453,324110.0,"C,P,Y","Chemicals,Refineries",4008129.326,3996363.9,5034.5,6730.926,,,,,,,,,,2125310.428,,,,,,,,,,,1073405.8,,,,,,,,,,,,,,809413.098,,,,,,,,,,,,N,N,N,POINT (-122.396453 37.938779),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,UT,84116,2351 N 1100 W,DAVIS COUNTY,40.824668,-111.930772,324110.0,"C,TT,Y","Refineries,Waste",490237.992,482513.4,6293.0,1431.592,,,,,,,,,,394836.518,,,,,,,,,,,,,,,,,,,,,,,,,91155.474,,,,,,,,,,,4246.0,N,N,N,POINT (-111.930772 40.824668),True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,33.9082,-118.4085,324110.0,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",3301835.324,3279694.6,16191.75,5948.974,,,,,,,,,17782.7,2243682.424,,,,,,,,,,,485783.9,,,,,,,,,,,,,,572369.0,,,,,,,,,,,,N,Y,N,POINT (-118.4085 33.9082),True,True
1006671,110000595124.0,CHS INC LAUREL REFINERY,LAUREL,MT,59044,803 US HIGHWAY 212 SOUTH,YELLOWSTONE COUNTY,45.65922,-108.76778,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",1013794.09,1005420.1,6472.75,1901.24,,,,,,,,,,500470.176,,,,,,,,,,,343120.5,,,,,,,,,,,,,,170203.414,,,,,,,,,,,,N,N,Y,POINT (-108.76778 45.65922),True,True
1007739,110000428500.0,"Calumet Montana Refining, LLC",GREAT FALLS,MT,59404,1900 10TH STREET NORTHEAST,CASCADE COUNTY,47.523611,-111.294167,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",260292.686,255855.3,3958.5,478.886,,,,,,,,,,99047.05,,,,,,,,,,,89615.5,,,,,,,,,,,,,,71630.136,,,,,,,,,,,,N,N,Y,POINT (-111.294167 47.523611),True,True
1006032,,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,Current,NV,89301,,Nye,38.6226,-115.6198,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",16174.482,16102.8,31.75,39.932,,,,,,,,,,16159.382,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,N,N,N,POINT (-115.6198 38.6226),True,True
1003355,110011031052.0,GALLUP REFINERY,Jamestown,NM,87347,92 Giant Crossing,MCKINLEY COUNTY,35.490278,-108.425,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,N,N,N,POINT (-108.425 35.490278),True,True
