Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1006430,110070835034.0,"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,33.905833,-118.401944,325120.0,P,Chemicals,620672.4,620672.4,,,,,,,,,,,,,,,,,,,,,,,620672.4,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-118.401944 33.905833),True,True
1003748,110041623641.0,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,RODEO,CA,94572,1391 SAN PABLO AVE,CONTRA COSTA COUNTY,38.047952,-122.256895,325120.0,P,Chemicals,914744.1,914744.1,,,,,,,,,,,,,,,,,,,,,,,914744.1,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.256895 38.047952),True,True
1002121,110000483227.0,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,MARTINEZ,CA,94553,110 WATERFRONT RD,CONTRA COSTA COUNTY,38.032767,-122.07594,325120.0,P,Chemicals,772660.0,772660.0,,,,,,,,,,,,,,,,,,,,,,,772660.0,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.07594 38.032767),True,True
1002122,110071160496.0,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",MARTINEZ,CA,94553,,CONTRA COSTA COUNTY,38.026667,-122.067222,325120.0,P,Chemicals,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-122.067222 38.026667),True,True
1002123,110000750358.0,AIR PRODUCTS AND CHEMICALS INCORPORATED,SACRAMENTO,CA,95826,5025 83RD STREET,SACRAMENTO COUNTY,38.529722,-121.398889,325120.0,P,Chemicals,45453.9,45453.9,,,,,,,,,,,,,,,,,,,,,,,45453.9,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-121.398889 38.529722),True,True
1002257,110002305443.0,AIR PRODUCTS CARSON HYDROGEN PLANT,CARSON,CA,90810,23300 SOUTH ALAMEDA STREET,LOS ANGELES COUNTY,33.812778,-118.231389,325120.0,P,Chemicals,711871.5,711871.5,,,,,,,,,,,,,,,,,,,,,,,711871.5,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-118.231389 33.812778),True,True
1002435,110000476084.0,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,WILMINGTON,CA,90744,700 HENRY FORD AVENUE,LOS ANGELES COUNTY,33.780833,-118.241111,325120.0,P,Chemicals,769824.62,769236.9,173.5,414.22,,,,,,,,,,,,,,,,,,,,,769824.62,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,POINT (-118.241111 33.780833),True,True
1007253,110043973055.0,Air Liquide Hydrogen Plant,Anacortes,WA,98221,8581 South Texas Road,SKAGIT COUNTY,48.467675,-122.553982,325120.0,P,Chemicals,65848.3,65848.3,,,,,,,,,,,,,,,,,,,,,,,65848.3,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.553982 48.467675),True,True
1014562,110071131547.0,Air Liquide North Las Vegas Liquid Hydrogen Plant,North Las Vegas,NV,89165,8450 N Terryl B Adams St,CLARK COUNTY,36.31623,-114.986163,325120.0,P,Chemicals,42286.2,42286.2,,,,,,,,,,,,,,,,,,,,,,,42286.2,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-114.986163 36.31623),True,True
1014323,,Air Products West Coast Hydrogen - HP-1,Martinez,CA,94553,3485 Pacheco Blvd.,,38.0133042792257,-122.107964773591,325120.0,P,Chemicals,417324.8,417324.8,,,,,,,,,,,,,,,,,,,,,,,417324.8,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,POINT (-122.107964773591 38.0133042792257),True,True
