Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,inWECC,inWestCensus,geometry
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,Coal Mill 1,327310.0,True,True,POINT (-117.150005 34.39654)
1002431,110000484039.0,HANSON PERMANENTE CEMENT,37.3181,-122.091,GP-Boilers,327310.0,True,True,POINT (-122.091 37.3181)
1002527,110070834904.0,ASH GROVE CEMENT COMPANY-DURKEE,44.542325,-117.42053,GP-other sources,327310.0,True,True,POINT (-117.42053 44.542325)
1002530,,Ash Grove Cement Company-LEAMINGTON,39.508327,-112.262246,GP-space heat,327310.0,True,True,POINT (-112.262246 39.508327)
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Clark Gulch Quarry Shop Propane,327310.0,True,True,POINT (-111.92062 46.54448)
1002537,110000897085.0,ASH GROVE CEMENT COMPANY-SEATTLE,47.56799,-122.34255,Shop Heater,327310.0,True,True,POINT (-122.34255 47.56799)
1002566,110000481915.0,Tehachapi Cement Plant,35.12279,-118.369304,Building Heating,327310.0,True,True,POINT (-118.369304 35.12279)
1003008,110071159604.0,Holcim (US) Inc. - Portland Plant,38.328631,-105.008989,GP-Non-Kiln Combustion Units,327310.0,True,True,POINT (-105.008989 38.328631)
1003067,110037262636.0,GCC RIO GRANDE INC,38.129058,-104.606741,Finish Mill,327310.0,True,True,POINT (-104.606741 38.129058)
1003643,110070834974.0,PHOENIX CEMENT COMPANY\S CLARKDALE FACILITY,34.779716,-112.083801,CP-1,327310.0,True,True,POINT (-112.083801 34.779716)
1004131,110012414128.0,HOLCIM (US) INC. DEVIL\S SLIDE PLANT,41.0633,-111.5317,GP-Non Kiln Unit,327310.0,True,True,POINT (-111.5317 41.0633)
1004174,110071162501.0,NEVADA CEMENT COMPANY,39.62,-119.2628,Raw Mill 1,327310.0,True,True,POINT (-119.2628 39.62)
1004612,110070385909.0,CalPortland Redding Cement Plant,40.7369,-122.3223,Coal Mill,327310.0,True,True,POINT (-122.3223 40.7369)
1005662,110070081921.0,Mitsubishi Cement Corp Cushenbury Cement Plant,34.437557,-116.891034,CP-MCC non kiln natural gas,327310.0,True,True,POINT (-116.891034 34.437557)
1006185,110001473815.0,Trident,45.94942,-111.47501,GP-non kiln units,327310.0,True,True,POINT (-111.47501 45.94942)
1006642,110071162504.0,NATIONAL CEMENT CO OF CALIFORNIA INC,34.819863,-118.748732,53HE01 and 53HE02,327310.0,True,True,POINT (-118.748732 34.819863)
1006669,110070840230.0,CalPortland Company Rillito Plant,32.4108,-111.15055,CP- Other Gas Devices,327310.0,True,True,POINT (-111.15055 32.4108)
1006842,110063527964.0,CalPortland Company Mojave Plant,35.03837,-118.2977,CP- Other NG Devices,327310.0,True,True,POINT (-118.2977 35.03837)
1007877,110000467450.0,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,40.202236,-105.236697,GP-01,327310.0,True,True,POINT (-105.236697 40.202236)
1007927,110001200922.0,CalPortland Company Oro Grande Plant,34.6045,-117.3382,GP-Office Heating,327310.0,True,True,POINT (-117.3382 34.6045)
