Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,inWECC,inWestCensus,geometry
1000029,110015969941.0,NUCOR STEEL SEATTLE INC,47.569331,-122.367332,CP-1,331110.0,True,True,POINT (-122.367332 47.569331)
1001665,110000470026.0,"McWane Ductile - Utah, A Division of McWane Inc.",40.199753,-111.631752,CP-NG,331511.0,True,True,POINT (-111.631752 40.199753)
1001840,110027376284.0,Evraz Oregon Steel,45.62849,-122.78125,CP-1,331110.0,True,True,POINT (-122.78125 45.62849)
1003580,110000600154.0,VINTON STEEL LLC,31.96534,-106.585052,CP-NG Main Billing Meter,331110.0,True,False,POINT (-106.585052 31.96534)
1003902,110000467833.0,CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,38.232627,-104.607257,CP-General Stationary Fuel Combustion,331110.0,True,True,POINT (-104.607257 38.232627)
1004038,110037377969.0,CMC Steel Arizona,33.2853,-111.5863,GP-Dryers and Preheaters,331110.0,True,True,POINT (-111.5863 33.2853)
1004478,110000483450.0,"USS-UPI, LLC",38.02305,-121.85565,GP- Natural Gas,331221.0,True,True,POINT (-121.85565 38.02305)
1004965,110000483619.0,UNITED STATES PIPE & FOUNDRY CO LLC,37.60599,-122.04237,GP-Combustion and Annealing,331511.0,True,True,POINT (-122.04237 37.60599)
1005755,110040961947.0,CASCADE STEEL ROLLING MILLS INC,45.22863,-123.15905,CP-GU-1,331110.0,True,True,POINT (-123.15905 45.22863)
1005777,110020079537.0,NUCOR STEEL - UTAH,41.8825,-112.1964,CP-Plantwide natural gas/co-located faci,331110.0,True,True,POINT (-112.1964 41.8825)
1006761,110063857376.0,CALIFORNIA STEEL INDUSTRIES INC,34.07737,-117.499688,CP-1,331221.0,True,True,POINT (-117.499688 34.07737)
