Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,inWECC,inWestCensus,geometry
1001804,110000483245.0,MARTINEZ REFINING COMPANY LLC,38.016594,-122.115392,CP-CF_RFG,324110.0,True,True,POINT (-122.115392 38.016594)
1001964,110038102969.0,Phillips 66 Los Angeles Refinery - Carson Plant,33.808333,-118.245833,CP-Merox,324110.0,True,True,POINT (-118.245833 33.808333)
1002261,110017407153.0,TRICOR REFINING LLC,35.4185,-119.0112,GP-natural gas combustion,324110.0,True,True,POINT (-119.0112 35.4185)
1002286,110001187144.0,LUNDAY-THAGARD COMPANY,33.946295,-118.16704,GP-1,324110.0,True,True,POINT (-118.16704 33.946295)
1002461,110000746658.0,ULTRAMAR INC WILMINGTON REFINERY,33.7783,-118.2351,56-H-1,324110.0,True,True,POINT (-118.2351 33.7783)
1002565,110000481684.0,SAN JOAQUIN REFINING CO INC,35.39511,-119.04652,Crude Heater Oilfield Gas,324110.0,True,True,POINT (-119.04652 35.39511)
1003564,110043783420.0,Marathon El Paso Refinery,31.76945,-106.41426,F4301,324110.0,True,False,POINT (-106.41426 31.76945)
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-1 RFG V-475,324110.0,True,True,POINT (-122.396453 37.938779)
1003670,110071162431.0,PETRO STAR INC NORTH POLE REFINERY,64.749575,-147.377411,Asphalt Tank heaters,324110.0,False,True,POINT (-147.377411 64.749575)
1003689,110069522662.0,Alon Bakersfield Refining,35.3809,-119.07242,GP-Area 2 Boilers,324110.0,True,True,POINT (-119.07242 35.3809)
1003904,110000537250.0,TESORO CORPORATION-ANACORTES REFINERY,48.489534,-122.564292,F101,324110.0,True,True,POINT (-122.564292 48.489534)
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,COB_MERICHEM,324110.0,True,True,POINT (-122.560194 48.472836)
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Boiler 12,324110.0,True,True,POINT (-118.921111 35.295278)
1004459,110000468226.0,WYOMING REFINING COMPANY,43.85126,-104.21486,GP-Sweet Gas Heaters,324110.0,True,True,POINT (-104.21486 43.85126)
1005769,110055108431.0,HOLLYFRONTIER WOODS CROSS REFINING LLC,40.884195,-111.910878,GP-Mixed Fuel Gas,324110.0,True,True,POINT (-111.910878 40.884195)
1005997,110071159424.0,PETRO STAR VALDEZ REFINERY,61.08276,-146.25017,1,324110.0,False,True,POINT (-146.25017 61.08276)
1006032,,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,38.6226,-115.6198,CP-Fuel Oil System,324110.0,True,True,POINT (-115.6198 38.6226)
