LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_N,452504.59678045794,63703.38466049445,388801.2121199635
AZ_NW,47429.629091274415,2569.7203525891205,44859.90873868529
CA_PGE_CEN,3238.230786034519,0.0,3238.230786034519
CA_PGE_N,345250.4329901687,20561.54439974277,324688.8885904259
CA_SCE_CEN,964656.8560572162,6519.776132860853,958137.0799243554
ID_S_OR_E,53407.815120510786,1342.7908647873242,52065.02425572346
NV_N,11244854024.991787,1255287901.268561,9989566123.723227
NV_S,17804456032.59211,1705958917.6981406,16098497114.893969
OR_E,252394.80062587897,990.1965042524906,251404.60412162647
UT_N,4336.345765741013,0.0,4336.345765741013
UT_S,1907712.7245881283,330.82274004022156,1907381.901848088
