LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
CO_DEN,108311.81905905352,31123.34738991404,77188.47166913949
CO_NW,58155.58764364637,16363.077375607685,41792.51026803869
ID_E,539984675.0319761,38727833.690011665,501256841.3419644
MT_SE,27626238.363877397,5434915.300421033,22191323.063456364
MT_SW,298801264.0013596,17788423.256074496,281012840.7452851
UT_N,128759.27459650241,32193.719305297403,96565.555291205
WY_NE,1364143935.5585108,212111296.63992342,1152032638.9185874
WY_NW,1174575049.1839461,127785581.6672764,1046789467.5166698
WY_SE,4205248811.468464,1068349023.3866568,3136899788.081807
WY_SW,1711385535.7061439,606079749.1838923,1105305786.5222516
