day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
1,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
2,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
3,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
4,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
5,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
6,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
7,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
8,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
9,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
10,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
11,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
12,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
13,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
14,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
15,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
16,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
17,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
18,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
19,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
20,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
21,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
22,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
23,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
