day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
1,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,108627.38535226545,155110.90619693475,409236.0329996524,921769.3965491375
2,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,114441.58558583654,163413.0974288494,469727.5050002017,996377.2600151724
3,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,105877.76359148244,151184.67061732928,498609.8856455148,1157497.5331951221
4,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,108738.12269884734,155269.02729926165,495305.1137305563,1161137.4770694608
5,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,113191.63672684635,161628.27279973595,489262.95206034486,1165908.0749277226
6,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,119844.91625601413,171128.61018423588,398146.07623477466,1090944.8160158203
7,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,121701.03843608426,173778.99631063285,449659.8153210073,1146965.0634085198
8,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,107165.28922451376,152968.9834416261,449485.64538283367,958414.9900492585
9,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,112901.23184726315,161156.52991544758,453897.87846878235,976750.712231778
10,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,104452.67665175626,149096.96515425912,462285.246467217,1117660.1016140277
11,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,107274.53607544293,153124.9210534721,500053.45825763134,1162278.128727342
12,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,111668.10697221302,159396.35188650596,473025.5177577932,1145915.1899573077
13,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,118231.8351032237,168765.49934164574,338514.06640571513,1027336.6141913801
14,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,120062.97436537387,171379.28635007172,380480.17260128027,1073747.6466575214
15,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,103071.420066809,150827.06068631745,396777.68719936087,899471.2399527722
16,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,108588.2413792576,158899.96240204573,426471.32439165475,942754.600173243
17,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,100462.43322052296,147009.25969118899,436425.0629240214,1085721.969176529
18,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,103176.49352991053,150980.8148076825,490720.9758891666,1146703.4975675552
19,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,107402.22365923964,157164.430973276,477573.5436549823,1143965.4116282936
20,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,113715.20787541043,166402.38849905558,363012.3724018694,1044955.182117131
