day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
1,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36209.12845075515,51703.63539897825,293100.73920997424,574770.7412933891
2,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,38147.19519527885,54471.03247628314,336425.6024418382,622801.0683470817
3,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35292.58786382748,50394.89020577642,357111.57932230586,713071.3662958466
4,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,36246.040899615786,51756.34243308722,354744.65409312997,713019.3463297698
5,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,37730.545575615455,53876.09093324531,350417.17090699857,712296.1163197963
6,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39948.30541867138,57042.87006141196,285157.95249648107,652421.4368805012
7,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,40567.012812028086,57926.33210354428,322052.83414943,690818.4879689391
8,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,35721.76307483792,50989.6611472087,321928.0911319282,602396.7535876563
9,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,37633.74394908772,53718.84330514919,325088.1959975215,610198.02148544
10,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34817.55888391876,49698.988384753044,331095.34972332587,685884.2058959345
11,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35758.17869181431,51041.64035115736,358145.4868123508,715217.6147592594
12,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,37222.70232407101,53132.11729550199,338787.6866651861,699414.8151886959
13,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39410.61170107457,56255.16644721525,242448.64844678453,608386.7354990112
14,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,40020.991455124626,57126.42878335724,272505.3779520646,639925.1070944835
15,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,34357.14002226967,50275.68689543915,284177.89256659953,562567.9577179898
16,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36196.08045975254,52966.65413401524,305444.90306687367,588364.875894323
17,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,33487.47774017433,49003.08656372966,312573.9139224303,665336.7871302712
18,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34392.16450997018,50326.938269227496,351461.4285665233,706452.8402496579
19,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35800.74121974655,52388.143657758665,342045.04829739936,700506.2420788414
20,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,37905.06929180348,55467.46283301853,259994.68793952648,623639.5289682853
21,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38492.13165579492,56326.525463170205,310618.8734162144,675709.8394391164
22,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,34560.56209221773,54366.164379535534,317401.8527179829,600085.8174234177
23,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36410.39054511927,57276.07126030346,312872.0391530474,600315.7391921516
24,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,33685.75070570144,52990.02408000944,324568.814319732,681516.8980093797
25,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34595.79395322644,54421.58561361731,373579.2908031208,732868.9792739014
26,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,36012.71057691293,56650.49262399643,350966.970236262,713902.4823411083
27,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38129.49797393084,59980.348122687195,260831.64117514488,629213.7961756998
28,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38720.03622215462,60909.30490174175,327710.47600841004,697612.1260362433
29,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,35069.11726708789,55794.11288307464,340739.37409838306,625359.8424822271
30,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36946.16575853611,58780.44960257136,324206.1292200758,613689.9828148647
31,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34181.43311951924,54381.82772205621,340147.60811734974,698983.1778628621
32,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35104.867561367115,55850.989777477036,358233.07019941276,719461.2364421939
33,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,36542.63396982887,58138.43989948307,348660.7715957991,713614.1543690478
34,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38690.56967924926,61555.75535108063,260478.64692096246,630997.2808552292
35,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39289.79763805389,62509.11154211582,291890.9882127641,663962.2062968707
36,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,34963.16827232327,55303.25558498307,340772.1128561533,624795.7749471411
37,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36834.545922407604,58263.319547416766,316818.2671510111,605673.370854517
38,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34078.16594997387,53903.395220102626,337538.5588521946,695792.4289262079
39,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34998.81055967115,55359.63209615025,372500.6414310756,733131.3929908338
40,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,36432.233262971386,57626.95802353454,365704.5162501402,730036.016440583
41,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38573.67974064126,61014.20911632039,262445.8686832014,632306.0664440999
42,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39171.09734307488,61959.17800948723,298400.29470894334,669802.8789654423
43,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,35302.20505557004,55883.359664545824,364249.94795691816,649192.7509107154
44,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,37191.729398018826,58874.47324896309,329702.9739807935,619526.414861457
45,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34408.620892519066,54468.815449684116,330693.249491661,689842.994737801
46,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35338.19296509826,55940.32753771826,386720.0785650106,748270.907971764
47,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,36785.515524915354,58231.43660420098,370347.6089487157,735636.8699817689
48,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,38947.72754418687,61654.21830285521,282143.47769812634,653017.7324491052
49,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39550.938287007724,62609.09945713919,303442.09902725235,675874.4456753362
50,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,35641.241838816815,55065.26416772655,341469.55725880637,625933.3014990313
51,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,37548.91287363005,58012.58982370545,345277.37607532064,634596.1170063376
52,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34739.07583506427,53671.427946428164,355515.89046898676,714198.703154416
53,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35677.57537052537,55121.398068840295,380995.9644100885,742067.246753391
54,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,37138.797786859315,57378.966810953425,362609.63750486466,727399.7110066144
55,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39321.77534773248,60751.64124492148,278664.9883330269,649010.7138296177
56,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39930.77923094057,61692.54356942488,335043.1141854913,706938.7458897936
57,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,35861.615747927215,56017.22983675262,343916.84011615335,629552.9239345146
58,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,37781.082132777345,59015.508718550715,342254.50221768697,632808.3313026966
59,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,34953.87154771865,54599.29704112601,355079.0164865976,714904.4939793791
60,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,35898.173934053,56074.33417808011,359407.33623806736,721652.1532541374
61,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,37368.431257122895,58370.93166127786,266900.05116288667,632911.7229852243
62,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,39564.90642003713,61801.9127305171,327775.43068122165,699414.5587357128
63,113418.64219155205,8347.626107199316,1539.223616999016,28459.34164668671,11427.828925760738,99788.31105883337,7291.335356905686,40177.675844496924,62759.08132967426,349980.4251884147,723189.4912665228
64,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,36789.72894206525,55496.62361150399,343343.48148347484,629387.0722707256
65,113418.64219155205,4275.555527603537,788.3721622608745,14576.53875806773,5853.199041809608,51110.39467494312,3734.5358774446195,38758.871897263074,58467.03744793221,354320.55568091094,645303.7032597878
