day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
1,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,72418.2569015103,103407.2707979565,567582.352344767,964684.035161217
2,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,76294.3903905577,108942.06495256627,651071.7373946658,1057584.347854773
3,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,70585.17572765496,100789.78041155284,691597.4219026894,1199021.1391642634
4,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,72492.08179923157,103512.68486617444,687171.4168400962,1199224.9446278685
5,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,75461.09115123091,107752.18186649062,678940.3951797496,1198202.4293198374
6,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,79896.61083734276,114085.74012282392,551678.4750755876,1081709.5871581205
7,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,81134.02562405617,115852.66420708856,623782.864078012,1156818.315031523
8,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,71443.52614967585,101979.3222944174,623094.0458743611,1017793.0494354375
9,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,75267.48789817544,107437.68661029838,630740.1550542243,1034721.4846796814
10,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,69635.11776783752,99397.97676950609,641980.6947509154,1147062.550410625
11,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,71516.35738362862,102083.28070231472,694210.6637538286,1203859.062962138
12,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,74445.40464814202,106264.23459100397,656575.5101734691,1173333.9105349812
13,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,78821.22340214915,112510.3328944305,469648.97744798317,997029.2948669291
14,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,80041.98291024925,114252.85756671448,527938.2954992165,1058281.8970985464
15,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,68714.28004453934,100551.3737908783,549057.1314005398,939598.9403529407
16,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,72392.16091950508,105933.30826803048,591828.5924103552,991430.2167148739
17,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,66974.95548034865,98006.17312745932,606506.8517940701,1107536.7415242442
18,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,68784.32901994036,100653.87653845499,681498.6885853942,1186985.6552661557
19,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,71601.4824394931,104776.28731551733,662943.5208762276,1175370.0517536043
20,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,75810.13858360695,110934.92566603706,503219.9189652927,1026013.7443373029
21,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,76984.26331158984,112653.05092634041,601366.5110201108,1127052.5863804072
22,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,69121.12418443547,108732.32875907107,614496.841680277,1013626.4497407668
23,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,72820.78109023854,114552.14252060693,605836.9611361917,1014486.0398640204
24,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,67371.50141140287,105980.04816001888,628531.196877716,1137931.507571504
25,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,69191.58790645289,108843.17122723462,724609.8196302304,1238693.339886284
26,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,72025.42115382585,113300.98524799287,680164.9630123071,1201540.130536492
27,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,76258.99594786168,119960.69624537439,504941.9991420991,1037210.4524577013
28,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77440.07244430923,121818.6098034835,634455.3178827656,1169762.7612529243
29,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,70138.23453417578,111588.22576614928,660077.0668615231,1063079.6822788315
30,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,73892.33151707222,117560.89920514272,628451.9623213459,1041181.3481605441
31,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,68362.86623903849,108763.6554441124,659215.7793743307,1172391.0621798476
32,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,70209.73512273423,111701.97955495407,694258.1258876591,1212218.6016877135
33,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,73085.26793965774,116276.87979896614,675718.7682017087,1201129.6770626986
34,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77381.13935849852,123111.51070216126,504209.1130875768,1040750.5242706027
35,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,78579.59527610778,125018.22308423163,565650.784521312,1105297.3640040176
36,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,69926.33654464655,110606.51116996614,660482.0363336876,1062291.0391652836
37,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,73669.09184481521,116526.63909483353,614118.7601550914,1025590.6462117233
38,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,68156.33189994773,107806.79044020525,654341.5999431919,1166353.4834057111
39,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,69997.6211193423,110719.2641923005,722308.9171711531,1239074.563605162
40,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,72864.46652594277,115253.91604706908,709061.2526170501,1233228.3963124282
41,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77147.35948128252,122028.41823264078,508028.57567821664,1043253.1145145061
42,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,78342.19468614976,123918.35601897446,578093.6278807198,1116402.9397082103
43,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,70604.41011114008,111766.71932909165,706083.7118571821,1109730.9964143971
44,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,74383.45879603765,117748.94649792618,639066.3905941489,1052474.951005096
45,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,68817.24178503815,108937.63089936823,640942.9066809352,1154746.5404877076
46,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,70676.38593019651,111880.65507543652,749443.0827265222,1268048.8848545214
47,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,73571.03104983071,116462.87320840196,717607.6387092635,1243690.3040898624
48,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77895.45508837374,123308.43660571042,545651.8938074342,1082904.5466238847
49,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,79101.87657401545,125218.19891427839,587717.2457727313,1128086.0823833914
50,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,71282.48367763363,110130.5283354531,660862.4233603661,1063551.5904904362
51,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,75097.8257472601,116025.1796474109,669005.8571683156,1081405.0176799698
52,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,69478.15167012854,107342.85589285633,689209.2355651873,1202079.0042505383
53,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,71355.15074105073,110242.79613768059,738353.5713541274,1256000.279355225
54,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,74277.59557371863,114757.93362190685,702678.317939759,1227762.6082577507
55,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,78643.55069546496,121503.28248984295,539219.1472254201,1075414.741533094
56,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,79861.55846188114,123385.08713884976,648517.4793688696,1187812.8860919666
57,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,71723.23149585443,112034.45967350523,666217.5565004146,1071251.4027867576
58,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,75562.16426555469,118031.01743710143,663083.5916487792,1077952.9284684185
59,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,69907.7430954373,109198.59408225202,688170.2525360382,1203325.3508360935
