hour,h2_demand,normalized_h2_demand
0,0.100854863,0.000602404
1,0.084177506,0.00050279
2,0.141928103,0.000847733
3,0.318590285,0.001902933
4,0.577701779,0.0034506
5,0.823011255,0.004915828
6,1.060314471,0.006333235
7,1.216404809,0.007265559
8,1.297354306,0.007749068
9,1.411291578,0.008429613
10,1.600822905,0.00956168
11,1.735226158,0.010364467
12,1.791062659,0.010697977
13,1.779141775,0.010626774
14,1.748523364,0.010443891
15,1.679099323,0.010029223
16,1.58419776,0.009462378
17,1.416703578,0.008461939
18,1.196669696,0.007147682
19,0.930578353,0.005558324
20,0.687745529,0.004107889
21,0.487160101,0.002909796
22,0.31364761,0.00187341
23,0.196673149,0.001174724
24,0.155565323,0.000929188
25,0.123926983,0.000740213
26,0.1128502,0.000674052
27,0.17634181,0.001053286
28,0.318186512,0.001900521
29,0.479924277,0.002866577
30,0.690080831,0.004121837
31,0.937892012,0.005602008
32,1.184534199,0.007075196
33,1.330689217,0.007948177
34,1.392266583,0.008315977
35,1.461262719,0.00872809
36,1.5406144,0.009202056
37,1.617353297,0.009660415
38,1.698406018,0.010144541
39,1.733742474,0.010355605
40,1.68291711,0.010052027
41,1.510126643,0.009019953
42,1.268650164,0.007577619
43,0.990788152,0.005917956
44,0.738390966,0.004410393
45,0.560105302,0.003345497
46,0.410202219,0.002450129
47,0.254724434,0.001521463
48,0.132201907,0.000789639
49,0.084282282,0.000503416
50,0.128076215,0.000764996
51,0.298714155,0.001784213
52,0.594084346,0.003548453
53,0.850101007,0.005077634
54,1.096435348,0.006548984
55,1.248190061,0.007455412
56,1.332151217,0.00795691
57,1.305762346,0.007799289
58,1.294433609,0.007731623
59,1.339811795,0.008002666
60,1.408706593,0.008414173
61,1.465633783,0.008754198
62,1.566433922,0.009356275
63,1.662146257,0.009927963
64,1.651754812,0.009865895
65,1.526807463,0.009119587
66,1.273736996,0.007608003
67,0.976898406,0.005834992
68,0.723350753,0.004320558
69,0.503637343,0.003008215
70,0.323724759,0.001933601
71,0.186794713,0.001115721
72,0.113961306,0.000680688
73,0.090732378,0.000541942
74,0.146893796,0.000877393
75,0.305812242,0.00182661
76,0.604125677,0.003608429
77,0.898433986,0.005366326
78,1.137631273,0.006795046
79,1.289306982,0.007701002
80,1.386416078,0.008281032
81,1.369972445,0.008182815
82,1.350931017,0.008069081
83,1.393406876,0.008322788
84,1.464225247,0.008745785
85,1.542218997,0.00921164
86,1.646507271,0.009834551
87,1.738762134,0.010385588
88,1.705764671,0.010188494
89,1.587262612,0.009480684
90,1.3235715,0.007905663
91,1.013506315,0.006053651
92,0.754126086,0.004504378
93,0.523880476,0.003129126
94,0.330829566,0.001976038
95,0.196516475,0.001173789
96,0.127095058,0.000759136
97,0.09049822,0.000540544
98,0.157598951,0.000941335
99,0.344586057,0.002058205
100,0.628585906,0.00375453
101,0.927896498,0.005542305
102,1.197368511,0.007151856
103,1.371217701,0.008190253
104,1.467688816,0.008766473
105,1.445306978,0.008632786
106,1.424463476,0.008508289
107,1.466116966,0.008757084
108,1.536059455,0.009174849
109,1.616583237,0.009655816
110,1.72389742,0.010296801
111,1.827916729,0.010918106
112,1.815349584,0.010843043
113,1.689272154,0.010089985
114,1.436822854,0.008582111
115,1.08242345,0.006465291
116,0.791563389,0.004727991
117,0.56427821,0.003370421
118,0.36896734,0.002203834
119,0.218923734,0.001307627
120,0.174370296,0.00104151
121,0.13522774,0.000807712
122,0.134345634,0.000802443
123,0.197329064,0.001178642
124,0.329993313,0.001971043
125,0.520419297,0.003108453
126,0.781349234,0.004666982
127,1.071281624,0.006398741
128,1.35286244,0.008080617
129,1.535032694,0.009168716
130,1.611216742,0.009623762
131,1.672508425,0.009989856
132,1.769168456,0.010567204
133,1.872452163,0.011184115
134,1.939295998,0.011583372
135,1.99384105,0.011909168
136,1.942030268,0.011599704
137,1.74273232,0.010409301
138,1.479231925,0.008835419
139,1.13849036,0.006800178
140,0.881375557,0.005264437
141,0.651968628,0.003894194
142,0.467523697,0.002792509
143,0.318589796,0.00190293
144,0.206306734,0.001232266
145,0.209106303,0.001248987
146,0.122538415,0.000731919
147,0.135948425,0.000812017
148,0.248558649,0.001484635
149,0.400306805,0.002391024
150,0.606445705,0.003622287
151,0.854309332,0.005102771
152,1.141076689,0.006815626
153,1.440957064,0.008606805
154,1.687536364,0.010079617
155,1.778556845,0.010623281
156,1.782598773,0.010647423
157,1.745071895,0.010423276
158,1.689839481,0.010093374
159,1.619403088,0.009672659
160,1.534968472,0.009168333
161,1.40195094,0.008373822
162,1.212360468,0.007241402
163,0.99193981,0.005924834
164,0.779945809,0.004658599
165,0.590508658,0.003527095
166,0.442290134,0.002641789
167,0.327948971,0.001958832
