LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_N,5455534.732659817,842327.1574786545,4613207.575181162
AZ_NM_N,56868.590572298766,3114.8839696224313,53753.706602676335
CO_NW,13248.610153225836,1271.9378979800395,11976.672255245798
CO_SW,568743.1669771187,4565.505340698717,564177.66163642
ID_E,246358.43601735475,21125.28112537983,225233.1548919749
ID_S_OR_E,246645.38302793726,0.0,246645.38302793726
NV_N,64576459.53295813,7970065.597580545,56606393.93537758
NV_S,198284.03771219595,0.0,198284.03771219595
UT_N,25461593316.008984,4188572356.7056165,21273020959.303368
UT_S,9380969250.927765,1935557312.3925724,7445411938.5351925
WY_SW,39210.1627191616,654.7312176059563,38555.43150155564
