LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_SW,193472.83955426016,6602.166019097796,186870.67353516238
AZ_NW,174972.6986909423,0.0,174972.6986909423
CA_IID,4630239792.748027,1258144417.2349262,3372095375.5131006
CA_LADWP,27868280309.24316,2072024632.1613445,25796255677.081818
CA_PGE_BAY,41059109271.39398,4338395398.088217,36720713873.30576
CA_PGE_CEN,32509267839.79071,6334873587.404392,26174394252.38632
CA_PGE_N,31916892813.172375,5536078456.388272,26380814356.784103
CA_PGE_S,13520884794.18273,3022509726.881551,10498375067.301178
CA_SCE_CEN,27362050390.32342,5974104388.136092,21387946002.18733
CA_SCE_S,88093429846.69614,9638807457.485655,78454622389.21048
CA_SCE_SE,1161443716.9788976,323450396.56246525,837993320.4164324
CA_SCE_VLY,4433969372.028128,951222581.6214423,3482746790.4066854
CA_SDGE,30161059908.13494,2448487803.200233,27712572104.934708
CA_SMUD,11505912981.538656,1443771636.6439025,10062141344.894754
NV_N,106439894.29925601,14377768.140106576,92062126.15914944
NV_S,179243572.88674632,50974473.36392767,128269099.52281865
OR_E,343129256.72735286,52459053.48653978,290670203.2408131
OR_W,1401445510.3982253,389073373.71420217,1012372136.6840231
