FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
31105,WY_SE,4270,92.0,747.0,839,134613.22654007233,26449.76512110555,108163.46141896678
31007,WY_SE,2125,57.0,243.0,300,81449.92667801707,11498.813178073,69951.11349994407
31165,WY_SE,2125,57.0,243.0,300,58798.17192140878,8300.918388904769,50497.25353250401
31007,WY_SE,2125,57.0,243.0,300,81449.92667801707,11498.813178073,69951.11349994407
31105,WY_SE,8210,204.0,4891.0,5095,579093.3861085911,359376.46799309034,219716.91811550077
31105,WY_SE,4525,0.0,0.0,0,15394.121192538558,0.0,15394.121192538558
31007,WY_SE,275,14.0,41.0,55,18648.716243926083,3729.7432487852166,14918.972995140866
31105,WY_SE,1385,48.0,192.0,240,51829.70969465744,8981.321535536308,42848.38815912113
31105,WY_SE,2140,95.0,405.0,500,15531.335827109251,3628.8167820348717,11902.51904507438
31007,WY_SE,275,15.0,45.0,60,18461.60537860241,4027.9866280587075,14433.618750543701
31105,WY_SE,945,65.0,120.0,185,27219.527880994694,5328.690643369332,21890.83723762536
31105,WY_SE,855,60.0,110.0,170,32383.78776392807,6438.881777623125,25944.905986304944
31007,WY_SE,3040,86.0,389.0,475,8963.177451626132,1400.4964768165833,7562.680974809549
31105,WY_SE,8665,204.0,4886.0,5090,709448.4229559944,416744.65930132853,292703.76365466585
31105,WY_SE,855,60.0,110.0,170,6980.936284439585,1388.0224191283385,5592.913865311246
31007,WY_SE,3040,86.0,389.0,475,30336.908297811526,4740.141921533051,25596.766376278476
31105,WY_SE,3915,88.0,792.0,880,14206.817701666523,3193.358768190687,11013.458933475837
31105,WY_SE,160,0.0,0.0,0,6132.700361638933,0.0,6132.700361638933
31165,WY_SE,160,0.0,0.0,0,7838.2442491953225,0.0,7838.2442491953225
31165,WY_SE,700,17.0,97.0,114,49215.82760634795,8015.149067319523,41200.67853902843
31105,WY_SE,8550,204.0,4886.0,5090,201671.49266158798,120059.40323362373,81612.08942796425
31105,WY_SE,3815,76.0,684.0,760,133247.88422583172,26544.794760585086,106703.08946524662
31007,WY_SE,2125,57.0,243.0,300,32772.75156275243,4626.741397094462,28146.01016565797
31105,WY_SE,785,45.0,55.0,100,22788.969391178995,2903.0534256278975,19885.915965551096
31033,WY_SE,820,0.0,0.0,0,29384.343892527373,0.0,29384.343892527373
31033,WY_SE,2975,89.0,505.0,594,10120.996806144134,2020.797345495669,8100.199460648465
31157,WY_SE,645,0.0,0.0,0,46372.8764586725,0.0,46372.8764586725
31105,WY_SE,3470,83.0,742.0,825,120410.94485938335,28627.96239452198,91782.98246486137
31033,WY_SE,820,0.0,0.0,0,29384.343892527373,0.0,29384.343892527373
31007,WY_SE,750,35.0,65.0,100,28917.133731840382,3855.617830912051,25061.51590092833
31007,WY_SE,2125,57.0,243.0,300,81449.92667801707,11498.813178073,69951.11349994407
31165,WY_SE,197,0.0,0.0,0,130822.47380913916,0.0,130822.47380913916
31105,WY_SE,185,0.0,0.0,0,7090.934793145017,0.0,7090.934793145017
31033,WY_SE,1830,0.0,0.0,0,57276.336883442906,0.0,57276.336883442906
31105,WY_SE,840,0.0,0.0,0,32006.16401754757,0.0,32006.16401754757
31033,WY_SE,345,0.0,0.0,0,2582.1299414666883,0.0,2582.1299414666883
31105,WY_SE,775,0.0,0.0,0,201784.89318602657,0.0,201784.89318602657
31033,WY_SE,129,0.0,0.0,0,68432.90727876023,0.0,68432.90727876023
31165,WY_SE,430,14.0,80.0,94,30135.055364310836,6587.663265686555,23547.39209862428
31007,WY_SE,2125,57.0,243.0,300,8193.187890688108,1156.6853492736154,7036.502541414493
31105,WY_SE,945,65.0,120.0,185,33649.337616662735,6587.436464637678,27061.901152025057
31105,WY_SE,62,0.0,0.0,0,64655.53580971082,0.0,64655.53580971082
31105,WY_SE,2125,57.0,243.0,300,15904.423552512211,2245.330383884077,13659.093168628135
31165,WY_SE,2125,57.0,243.0,300,11566.853492736152,1632.9675519156922,9933.88594082046
31105,WY_SE,160,0.0,0.0,0,6132.700361638933,0.0,6132.700361638933
31165,WY_SE,160,0.0,0.0,0,9326.05912982962,0.0,9326.05912982962
