FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
32015,NV_N,620,35.0,57.0,92,22498.664048616203,3338.5114394720817,19160.152609144123
32007,NV_N,130,3.0,5.0,8,4717.461816645333,290.30534256278975,4427.156474082543
32003,NV_S,550,7.0,23.0,30,20083.232878074243,1095.449066076777,18987.783811997466
32031,NV_N,16400,118.0,684.0,802,665797.1590838481,32559.10497471013,633238.054109138
32001,NV_N,1150,28.0,40.0,68,44078.78384927983,2606.3976536965465,41472.38619558328
32021,NV_N,4700,97.0,135.0,232,172686.31861508446,8524.090620999914,164162.22799408453
32031,NV_N,10300,507.0,1857.0,2364,759216.5111163583,174251.245852337,584965.2652640213
32033,NV_N,580,27.0,37.0,64,21047.137335802254,2322.442740502318,18724.694595299938
32001,NV_N,670,46.0,46.0,92,46194.83763530391,6343.171734996956,39851.66590030696
32003,NV_S,52500,1052.0,301.0,1353,3869792.896466875,99730.09121751775,3770062.805249357
32031,NV_N,13700,1377.0,4500.0,5877,149144.3697416332,63979.66868405682,85164.7010575764
32007,NV_N,8200,465.0,2544.0,3009,299422.74472765235,109873.54132750072,189549.20340015163
32003,NV_S,200,9.0,46.0,55,7257.633564069743,1995.8492301191793,5261.784333950564
32005,NV_N,910,23.0,32.0,55,71616.96720394696,4328.498017820971,67288.46918612599
32031,NV_N,6100,438.0,1606.0,2044,179853.23175960334,60265.57470764413,119587.6570519592
32013,NV_N,8200,455.0,2200.0,2655,299422.74472765235,96947.24234779476,202475.5023798576
32023,NV_S,3850,307.0,648.0,955,234013.32223147378,58047.460449625316,175965.86178184848
32003,NV_S,26000,1011.0,5720.0,6731,955286.01787068,247308.8533187518,707977.1645519282
32007,NV_N,2200,56.0,79.0,135,80831.89381982677,4960.1389389439155,75871.75488088286
32003,NV_S,13400,173.0,553.0,726,489300.582847627,26509.867399058,462790.715448569
32031,NV_N,112000,5235.0,7634.0,12869,1041470.4164440081,119666.81061801733,921803.6058259908
32009,NV_N,3300,43.0,136.0,179,163160.67456224293,8850.230529285298,154310.44403295763
32023,NV_S,2950,38.0,122.0,160,108388.22125840407,5878.683186896492,102509.53807150757
32023,NV_N,60,1.0,2.0,3,2190.898132153554,109.54490660767769,2081.3532255458763
32019,NV_N,7700,194.0,272.0,466,796343.8428175526,48194.31568220513,748149.5271353475
32031,NV_N,20400,882.0,3231.0,4113,27760.448382566767,5596.996284191036,22163.452098375732
32003,NV_S,17400,887.0,600.0,1487,55248.73550648092,4721.5442355251225,50527.1912709558
32510,NV_N,27700,1096.0,457.0,1553,1099418.0844321274,61638.85505859545,1037779.229373532
32015,NV_N,620,35.0,57.0,92,41481.91183963612,6155.380466526651,35326.53137310947
32007,NV_N,6100,346.0,1889.0,2235,221357.82370412716,81104.05507847937,140253.7686256478
32005,NV_N,8400,211.0,295.0,506,592495.0600867437,35690.773857606226,556804.2862291374
32007,NV_N,10900,623.0,3403.0,4026,395541.029241801,146096.16364472394,249444.86559707706
32031,NV_N,4600,115.0,161.0,276,167968.8567984391,10078.131407906347,157890.72539053275
32003,NV_S,7800,293.0,607.0,900,465259.67166664597,53683.80826922838,411575.8633974176
32031,NV_N,16600,1237.0,4534.0,5771,606148.4832291498,210727.88534430263,395420.5978848472
32005,NV_N,8400,211.0,295.0,506,472471.9450209403,28460.8100214995,444011.13499944075
32031,NV_N,33000,1261.0,1839.0,3100,1556762.39949296,146241.31631600534,1410521.0831769546
32009,NV_S,2950,38.0,122.0,160,130467.3033665975,7076.192724967999,123391.1106416295
32003,NV_S,29200,677.0,188.0,865,1900683.5100103149,56304.49438900419,1844379.0156213106
32003,NV_S,17400,887.0,600.0,1487,635360.4583245306,54297.75870853891,581062.6996159917
32023,NV_S,3850,307.0,648.0,955,290770.28471298795,72126.13555867624,218644.14915431172
32007,NV_N,2250,56.0,79.0,135,165337.96463146384,9920.277877887831,155417.686753576
32003,NV_S,210,3.0,9.0,12,7620.515242273231,435.4580138441846,7185.0572284290465
32023,NV_S,410,12.0,33.0,45,15064.12566642226,1653.3796463146384,13410.746020107621
32510,NV_N,14100,355.0,497.0,852,514861.0610560851,31110.753476580463,483750.3075795046
32003,NV_S,147000,4455.0,21524.0,25979,4900943.865186972,866133.4739706961,4034810.3912162753
32007,NV_N,280,7.0,10.0,17,10224.19128338325,620.7544707768402,9603.436812606411
32031,NV_N,7700,0.0,0.0,0,356259.08757627354,0.0,356259.08757627354
32017,NV_S,1550,110.0,431.0,541,56246.66012154051,19631.898790808656,36614.76133073185
32003,NV_S,7800,293.0,607.0,900,396266.792598208,45723.09145363938,350543.7011445686
32031,NV_N,25700,1377.0,4500.0,5877,1066668.0129742627,243922.48685796664,822745.5261162961
32003,NV_S,3850,75.0,24.0,99,238379.2424223595,6129.75194800353,232249.49047435596
32033,NV_N,690,17.0,24.0,41,27386.22665191942,1627.2975256937627,25758.929126225656
32007,NV_N,8200,465.0,2544.0,3009,297562.9761268595,109191.09697142929,188371.8791554302
32003,NV_S,32000,763.0,218.0,981,2315185.106938248,70974.89343457567,2244210.2135036723
32005,NV_N,3950,99.0,139.0,238,145129.99117650714,8744.541240508532,136385.44993599862
32005,NV_N,8400,211.0,295.0,506,632502.7651086781,38100.76180297513,594402.003305703
32007,NV_N,3050,247.0,841.0,1088,170168.82697254777,60702.84712987933,109465.97984266844
32001,NV_N,12500,438.0,870.0,1308,453602.09775435895,47464.923509016124,406137.17424534285
32003,NV_S,4800,62.0,198.0,260,336391.3156946326,18221.196266792598,318170.11942784
32009,NV_S,2950,38.0,122.0,160,268963.36386344716,14587.843463780184,254375.52039966697
32013,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32007,NV_N,6050,334.0,1826.0,2160,21954.341531310973,7838.2442491953225,14116.09728211565
32007,NV_N,5700,324.0,1770.0,2094,206842.5565759877,75987.42341581022,130855.13316017747
32023,NV_N,60,1.0,2.0,3,2190.898132153554,109.54490660767769,2081.3532255458763
32023,NV_S,3850,307.0,648.0,955,217422.8255061081,53932.155417748894,163490.6700883592
32031,NV_N,18700,1000.0,1400.0,2400,1043330.185044801,133903.33925708677,909426.8457877142
32021,NV_N,230,6.0,8.0,14,16014.422061217643,974.7909080741174,15039.631153143526
32001,NV_N,670,46.0,46.0,92,24161.11573688593,3317.6457429753814,20843.46999391055
32023,NV_S,3850,307.0,648.0,955,141455.81418469685,35088.390271788434,106367.42391290842
32003,NV_S,32500,507.0,150.0,657,471746.18166453333,9536.530503187643,462209.6511613457
32009,NV_N,2650,175.0,463.0,638,108785.12309393914,26190.531522238933,82594.5915717002
32007,NV_N,2200,56.0,79.0,135,159667.93840953434,9797.805311494154,149870.13309804018
32033,NV_N,410,5.0,17.0,22,24734.922390545195,1327.2397380292543,23407.68265251594
32003,NV_S,29100,494.0,142.0,636,2125171.1881889473,46447.04040165534,2078724.147787292
32023,NV_S,60,1.0,2.0,3,2204.5061950861846,110.22530975430922,2094.280885331875
32003,NV_S,550,7.0,23.0,30,20207.973454956693,1102.2530975430923,19105.7203574136
32013,NV_N,620,56.0,206.0,262,11108.71537400425,4694.328109659861,6414.387264344389
32007,NV_N,8200,465.0,2544.0,3009,100427.50444281507,36851.995227857384,63575.50921495769
32013,NV_N,4100,176.0,526.0,702,150641.2566642226,25792.722482508358,124848.53418171425
32007,NV_N,330,68.0,12.0,80,12124.784072974015,2939.341593448246,9185.44247952577
32007,NV_N,16300,410.0,575.0,985,591497.135471684,35743.84530304348,555753.2901686406
32031,NV_N,860,22.0,30.0,52,31207.824325499896,1886.9847266581332,29320.83959884176
32003,NV_S,48500,1702.0,9740.0,11442,1770975.990157456,417804.2738016827,1353171.7163557732
32003,NV_S,32000,0.0,0.0,0,275790.07543465024,0.0,275790.07543465024
32003,NV_S,11900,235.0,72.0,307,1476316.0674562245,38086.47333689587,1438229.5941193285
32031,NV_N,3500,0.0,0.0,0,62710.490014540126,0.0,62710.490014540126
32007,NV_N,10900,623.0,3403.0,4026,422734.47500217485,156140.2748952987,266594.20010687615
32031,NV_N,14700,1115.0,4085.0,5200,460088.60775224626,162752.43267426398,297336.17507798225
32003,NV_S,10200,210.0,62.0,272,23133.706985472305,616.8988529459282,22516.808132526377
32017,NV_S,1550,110.0,431.0,541,57301.28499881939,19999.99689313632,37301.288105683074
32009,NV_N,2800,218.0,413.0,631,205753.91154137722,46368.11363664608,159385.79790473115
32017,NV_S,760,10.0,31.0,41,34818.49702362459,1878.3662868008005,32940.13073682379
32003,NV_S,5900,121.0,34.0,155,347912.8089775933,9140.082269750334,338772.72670784296
32003,NV_S,11600,0.0,0.0,0,1241781.102812333,0.0,1241781.102812333
32003,NV_S,10800,0.0,0.0,0,149416.53100028585,0.0,149416.53100028585
32031,NV_N,24000,809.0,2965.0,3774,914461.8290727877,143799.12262169586,770662.7064510918
32003,NV_S,24400,532.0,4710.0,5242,1776396.5352256205,381634.0425267501,1394762.4926988704
32023,NV_S,4800,62.0,198.0,260,477915.1701939926,25887.071718841264,452028.09847515135
32019,NV_N,7700,194.0,272.0,466,579794.2013496216,35088.84387388619,544705.3574757355
32003,NV_S,142000,4455.0,21524.0,25979,2995134.651472032,547961.9937365628,2447172.6577354693
32003,NV_S,2250,88.0,21.0,109,58684.77139697019,2842.9511476754446,55841.820249294746
32015,NV_N,8050,441.0,2411.0,2852,292119.75095380715,103493.85462363454,188625.8963301726
32023,NV_S,2000,45.0,17.0,62,73029.93773845179,2263.9280698920056,70766.00966855978
32023,NV_S,2900,37.0,119.0,156,106551.13276249892,5731.71610722408,100819.41665527484
32007,NV_N,8200,465.0,2544.0,3009,595125.952253719,218382.19394285858,376743.7583108604
32033,NV_N,800,20.0,28.0,48,29030.534256278974,1741.8320553767385,27288.702200902237
32015,NV_N,670,46.0,46.0,92,52273.10574521233,7177.799594864976,45095.30615034735
32001,NV_N,1200,0.0,0.0,0,101516.14947742554,0.0,101516.14947742554
32013,NV_N,5800,455.0,2200.0,2655,268351.00103147875,122839.98409285795,145511.0169386208
32033,NV_N,410,5.0,17.0,22,32545.950513875254,1746.368076354282,30799.58243752097
32013,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32019,NV_N,2600,71.0,78.0,149,158624.65358469932,9090.41284004623,149534.2407446531
32019,NV_N,720,18.0,25.0,43,45069.9044328731,2691.674848074366,42378.22958479874
32003,NV_S,66000,456.0,56.0,512,972976.4996830999,7547.938906632533,965428.5607764674
32017,NV_S,810,34.0,47.0,81,81199.3115190078,8119.93115190078,73079.38036710702
32003,NV_S,192000,7432.0,42525.0,49957,2830477.0899871998,736469.4999192216,2094007.590067978
32003,NV_S,34000,0.0,0.0,0,11111890.588688532,0.0,11111890.588688532
