FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
46033,WY_NE,7678,169.0,653.0,822,268172.28180496354,28710.291175264396,239461.99062969914
46033,WY_NE,990,39.0,49.0,88,57031.39175065555,5069.457044502716,51961.93470615284
46033,WY_NE,4406,141.0,674.0,815,5995.712528117117,1109.0571290094076,4886.655399107709
46081,WY_NE,130,0.0,0.0,0,115489.36209874856,0.0,115489.36209874856
46047,WY_NE,4640,176.0,654.0,830,170481.81241999826,30495.66903202555,139986.1433879727
46047,WY_NE,1890,77.0,352.0,429,69013.29116283695,15664.92164489791,53348.369517939034
46103,WY_NE,1947,35.0,43.0,78,71094.64438838282,2848.16757179962,68246.47681658319
46081,WY_NE,9750,0.0,0.0,0,902214.57243342,0.0,902214.57243342
46033,WY_NE,1540,69.0,52.0,121,46104.117215753045,3622.4663526663107,42481.65086308673
46019,WY_NE,2179,96.0,771.0,867,79566.11716604323,31658.47800961885,47907.63915642438
46033,WY_NE,4406,141.0,674.0,815,160884.9528378093,29759.699628419105,131125.2532093902
46103,WY_NE,16012,528.0,769.0,1297,581046.1431394237,47065.75366299228,533980.3894764314
46081,WY_NE,9758,185.0,546.0,731,68606.86368324903,5139.538568605764,63467.32511464327
46103,WY_NE,7678,169.0,653.0,822,280361.9309779164,30015.304410503686,250346.62656741272
46081,WY_NE,1447,27.0,36.0,63,67933.4913691327,2957.7124784072976,64975.7788907254
46047,WY_NE,4070,98.0,90.0,188,9230.802689301205,426.3859718890974,8804.416717412107
46103,WY_NE,15270,0.0,0.0,0,460612.5181751526,0.0,460612.5181751526
46081,WY_NE,370,0.0,0.0,0,24503.585320690472,0.0,24503.585320690472
46103,WY_NE,3104,59.0,28.0,87,112638.47291436241,3157.0706003703385,109481.40231399208
46033,WY_NE,665,3.0,13.0,16,24131.631600531895,580.6106851255795,23551.020915406316
46047,WY_NE,209,9.0,10.0,19,5593.367467409,508.4879515826364,5084.879515826364
46047,WY_NE,1927,39.0,318.0,357,16607.733605080346,3076.7830290678166,13530.950576012528
46081,WY_NE,7490,352.0,1191.0,1543,302375.6943840332,62291.81527831285,240083.87910572035
46081,WY_NE,14930,657.0,1911.0,2568,545168.4852175426,93770.4400561721,451398.04516137054
46047,WY_NE,4640,176.0,654.0,830,170481.81241999826,30495.66903202555,139986.1433879727
46081,WY_NE,7905,458.0,577.0,1035,290443.6912026048,38027.73186523668,252415.9593373681
46081,WY_NE,6980,384.0,1124.0,1508,254874.48270719676,55064.57305479265,199809.9096524041
46103,WY_NE,9148,101.0,174.0,275,331964.15922055003,9979.246150595896,321984.91306995414
46081,WY_NE,1447,27.0,36.0,63,74497.11372363826,3243.4817999925435,71253.63192364572
46103,WY_NE,3420,55.0,62.0,117,62052.76697279631,2122.8578174904,59929.909155305904
46047,WY_NE,2172,98.0,363.0,461,79310.51238395864,16833.400648713137,62477.111735245504
46103,WY_NE,24026,264.0,312.0,576,735631.4700436204,17636.049560689476,717995.420482931
46047,WY_NE,84,9.0,7.0,16,3105.3599612263415,591.497135471684,2513.8628257546575
46081,WY_NE,6980,384.0,1124.0,1508,50658.28227720681,10944.511414617173,39713.770862589634
46093,WY_NE,150,0.0,0.0,0,3810.2576211366154,0.0,3810.2576211366154
46081,WY_NE,6878,385.0,536.0,921,248030.08065418122,33212.518796525284,214817.56185765594
46081,WY_NE,1447,27.0,36.0,63,52837.15995376987,2300.4430387612315,50536.71691500864
46103,WY_NE,16012,528.0,769.0,1297,857043.0611306499,69421.98665291362,787621.0744777363
46103,WY_NE,2210,0.0,0.0,0,44609.49830365243,0.0,44609.49830365243
46033,WY_NE,980,14.0,12.0,26,52010.016528514796,1379.8575813687598,50630.15894714604
46103,WY_NE,4290,0.0,0.0,0,115784.20346228889,0.0,115784.20346228889
46081,WY_NE,6878,385.0,536.0,921,109195.63299240683,14621.863621111761,94573.76937129507
46103,WY_NE,16012,528.0,769.0,1297,581046.1431394237,47065.75366299228,533980.3894764314
46047,WY_NE,3734,123.0,474.0,597,136346.89375768948,21799.43641492786,114547.45734276163
46081,WY_NE,9184,184.0,505.0,689,337436.4149278586,25315.07947357302,312121.3354542856
46081,WY_NE,9184,184.0,505.0,689,337436.4149278586,25315.07947357302,312121.3354542856
46103,WY_NE,9252,259.0,259.0,518,316852.8589359613,17739.924441075225,299112.9344948861
46103,WY_NE,14080,113.0,56.0,169,453456.94508307753,5442.771570954553,448014.173512123
46103,WY_NE,10080,0.0,0.0,0,352067.80419302324,0.0,352067.80419302324
46033,WY_NE,990,39.0,49.0,88,44008.475524127905,3911.8644910335915,40096.61103309431
46033,WY_NE,2380,95.0,100.0,195,86905.62590875763,7120.418929499049,79785.20697925858
46103,WY_NE,18432,700.0,1438.0,2138,677224.3031304759,78553.90408490438,598670.3990455716
46033,WY_NE,4406,141.0,674.0,815,160884.9528378093,29759.699628419105,131125.2532093902
46093,WY_NE,22070,795.0,2339.0,3134,1051154.8212310637,149266.8423080269,901887.9789230367
46047,WY_NE,2172,98.0,363.0,461,79310.51238395864,16833.400648713137,62477.111735245504
46103,WY_NE,9252,259.0,259.0,518,339934.8552822897,19032.23681757739,320902.6184647123
46093,WY_NE,21970,967.0,2505.0,3472,1056357.6372923062,166940.08724073225,889417.5500515739
46081,WY_NE,1854,19.0,52.0,71,67698.7522835448,2592.5627897150384,65106.18949382976
46103,WY_NE,1445,22.0,35.0,57,64234.59306299477,2533.821318055849,61700.77174493892
46033,WY_NE,4406,141.0,674.0,815,160884.9528378093,29759.699628419105,131125.2532093902
46081,WY_NE,830,8.0,17.0,25,30307.424161457493,912.8742217306474,29394.549939726847
46103,WY_NE,7678,169.0,653.0,822,280361.9309779164,30015.304410503686,250346.62656741272
46033,WY_NE,2185,31.0,20.0,51,8920.08525233947,208.20336286925075,8711.881889470218
46047,WY_NE,1845,59.0,404.0,463,67370.11756372178,16906.430586451588,50463.68697727019
46047,WY_NE,209,9.0,10.0,19,7631.628493668212,693.7844085152921,6937.84408515292
46093,WY_NE,22920,871.0,2475.0,3346,831724.8064423925,121420.2095268868,710304.5969155057
46093,WY_NE,2199,53.0,194.0,247,80296.41654342774,9019.197310698797,71277.21923272894
46103,WY_NE,1248,0.0,0.0,0,36513.15446083488,0.0,36513.15446083488
46081,WY_NE,1447,27.0,36.0,63,50211.71101196764,2186.135310127133,48025.57570184051
46093,WY_NE,19830,813.0,2340.0,3153,724091.8326767496,115131.69684466925,608960.1358320803
46081,WY_NE,6878,385.0,536.0,921,149754.01096101507,20052.841537524702,129701.16942349037
46093,WY_NE,4596,78.0,129.0,207,112576.78302906782,5070.364248698224,107506.4187803696
46081,WY_NE,830,8.0,17.0,25,30495.66903202555,918.5442479525768,29577.124784072974
46081,WY_NE,17050,494.0,2131.0,2625,622580.2192203015,95851.79328171798,526728.4259385834
46093,WY_NE,22920,871.0,2475.0,3346,831724.8064423925,121420.2095268868,710304.5969155057
46081,WY_NE,14750,398.0,1106.0,1504,531905.1598792052,54236.29562429319,477668.86425491195
46103,WY_NE,14080,113.0,56.0,169,517324.1204468913,6209.3591161594195,511114.76133073185
46081,WY_NE,1600,48.0,109.0,157,58786.83186896492,5768.457877142183,53018.37399182274
46103,WY_NE,6830,109.0,560.0,669,82099.7116830502,8041.684790038153,74058.02689301205
46047,WY_NE,2290,69.0,348.0,417,83099.90430859856,15132.165981085414,67967.73832751314
46081,WY_NE,9184,184.0,505.0,689,335353.4740949706,25158.81355089664,310194.66054407397
46047,WY_NE,4640,176.0,654.0,830,85240.90620999913,15247.834516012776,69993.07169398635
46081,WY_NE,7905,458.0,577.0,1035,288650.8289112307,37792.992779648805,250857.83613158192
46103,WY_NE,1947,35.0,43.0,78,96264.79799172332,3856.5250351075597,92408.27295661575
46103,WY_NE,9252,259.0,259.0,518,306361.042414903,17152.50972448333,289208.5326904197
46047,WY_NE,2290,69.0,348.0,417,83099.90430859856,15132.165981085414,67967.73832751314
46033,WY_NE,730,35.0,106.0,141,26490.362508854563,5116.631662669169,21373.730846185394
46103,WY_NE,15562,124.0,78.0,202,158826.5065182,2061.6215342935616,156764.88498390644
46047,WY_NE,2172,98.0,363.0,461,30541.936445996496,6482.4275790075435,24059.508866988952
46019,WY_NE,3278,131.0,613.0,744,118952.61411510309,26998.396858339445,91954.21725676364
46081,WY_NE,4728,213.0,307.0,520,124388.58165459133,13680.639268271467,110707.94238631986
46047,WY_NE,2290,69.0,348.0,417,83619.2787105273,15226.7420184672,68392.53669206011
46103,WY_NE,16012,528.0,769.0,1297,795306.9084220862,64421.25032622069,730885.6580958655
