LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_E,2313277765.229846,610447105.1984043,1702830660.0314415
AZ_APS_N,6099005702.368673,996782283.8010309,5102223418.567642
AZ_APS_SW,5709453835.6406975,1260869346.410709,4448584489.229989
AZ_NM_N,805358338.5425081,126395982.31573193,678962356.2267762
AZ_NW,2328827765.4224715,503213080.10569316,1825614685.3167782
AZ_PHX,38372117810.400536,2225629928.3037357,36146487882.0968
AZ_SE,13372007166.25449,1500124268.954462,11871882897.300028
CA_SCE_SE,20363210.60807536,3472688.3007941144,16890522.307281245
NV_S,4387951.417972585,936359.4703418793,3451591.947630706
UT_S,20478.773907316045,5049.952154299278,15428.821753016764
