LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
CO_DEN,10852.883790870792,491.7046739657251,10361.179116905067
CO_NW,8379.164750767395,3866.2774802092786,4512.887270558117
ID_E,539164339.7728262,39887007.31593959,499277332.4568866
MT_SE,33540036.74798365,5446589.086209253,28093447.661774393
MT_SW,285051091.19887656,15692030.040264955,269359061.1586116
UT_N,27662.47032945183,7608.267985633863,20054.202343817964
WY_NE,1572334288.4816136,212665160.7549045,1359669127.7267091
WY_NW,1172791209.1261015,128104547.05721071,1044686662.0688907
WY_SE,5180380295.021562,1074390032.3971782,4105990262.6243834
WY_SW,2182603342.155791,604106221.4658608,1578497120.68993
