LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_APS_SW,126249.71106167746,0.0,126249.71106167746
AZ_NW,175686.89649172954,0.0,175686.89649172954
CA_IID,4708602793.492985,1650114272.484859,3058488521.008126
CA_LADWP,32234890662.442368,1452741739.5578313,30782148922.884537
CA_PGE_BAY,43864292465.43304,2598163188.695366,41266129276.73767
CA_PGE_CEN,35283836206.52255,7434735728.706538,27849100477.816013
CA_PGE_N,35675898258.950874,5629512351.826088,30046385907.12479
CA_PGE_S,15010185607.21476,4782767643.576315,10227417963.638445
CA_SCE_CEN,28854185410.307953,7018783373.213029,21835402037.094925
CA_SCE_S,96336257372.34209,6531710281.785163,89804547090.55692
CA_SCE_SE,1156345047.681037,741503098.9138303,414841948.7672067
CA_SCE_VLY,4542150283.147129,760929935.7491325,3781220347.3979964
CA_SDGE,32680618136.37889,1292863579.7350848,31387754556.643806
CA_SMUD,13788912669.457666,864755895.5130675,12924156773.9446
MEX_BAJA,87451.08243130724,7294.602135036724,80156.48029627051
NV_N,106790198.98529832,3848450.7833513357,102941748.20194699
NV_S,178566981.0947345,134570389.82783097,43996591.266903535
OR_E,356946552.62716395,111478599.36385393,245467953.26331002
OR_W,1650620974.2099247,578610335.6291635,1072010638.5807611
