fips,LD_VMT,HD_VMT
4,61796943931.84613,7227876092.813058
53,103468748645.88278,8628748156.424374
32,30643326153.216957,3258879691.2907267
41,29997713521.11425,4609842512.405707
48,705140208034.9398,64419383631.56947
31,49498838961.633354,6353655682.882424
6,304842392848.01575,41587096159.962654
16,18491100454.93184,2804770387.018902
46,17833845654.573807,3097336768.699089
8,40302562367.010704,2559054228.643419
49,30221819868.029747,6237713801.66093
35,28446508307.51737,5813426845.355861
56,8885607942.655918,2080303554.3677077
30,18629277214.252426,1774403051.9840431
